Power(W), TimePDU(S), TimeNODE(mS)
167, 1563926283, 1563926284289
167, 1563926283, 1563926284367
175, 1563926284, 1563926284445
175, 1563926284, 1563926284524
175, 1563926284, 1563926284600
175, 1563926284, 1563926284677
175, 1563926284, 1563926284755
175, 1563926284, 1563926284832
175, 1563926284, 1563926284909
175, 1563926284, 1563926284986
175, 1563926284, 1563926285063
175, 1563926284, 1563926285141
175, 1563926284, 1563926285218
175, 1563926284, 1563926285294
175, 1563926284, 1563926285373
212, 1563926284, 1563926285448
212, 1563926286, 1563926285523
212, 1563926286, 1563926285596
212, 1563926286, 1563926285673
212, 1563926286, 1563926285746
212, 1563926286, 1563926285821
212, 1563926286, 1563926285895
212, 1563926286, 1563926285973
212, 1563926286, 1563926286051
212, 1563926286, 1563926286127
212, 1563926286, 1563926286205
212, 1563926286, 1563926286283
212, 1563926286, 1563926286361
233, 1563926286, 1563926286439
233, 1563926286, 1563926286516
233, 1563926286, 1563926286593
233, 1563926286, 1563926286670
233, 1563926286, 1563926286745
204, 1563926287, 1563926287702
204, 1563926287, 1563926287775
204, 1563926287, 1563926287847
204, 1563926287, 1563926287921
204, 1563926287, 1563926287995
204, 1563926287, 1563926288070
204, 1563926287, 1563926288145
204, 1563926287, 1563926288225
204, 1563926287, 1563926288299
204, 1563926287, 1563926288376
204, 1563926287, 1563926288454
204, 1563926289, 1563926288534
204, 1563926289, 1563926288613
204, 1563926289, 1563926288688
204, 1563926289, 1563926288762
204, 1563926289, 1563926288836
204, 1563926289, 1563926288914
204, 1563926289, 1563926288986
204, 1563926289, 1563926289062
204, 1563926289, 1563926289138
204, 1563926289, 1563926289216
204, 1563926289, 1563926289292
204, 1563926289, 1563926289367
186, 1563926289, 1563926289442
186, 1563926290, 1563926289522
186, 1563926290, 1563926289599
186, 1563926290, 1563926289676
186, 1563926290, 1563926289753
186, 1563926290, 1563926289829
186, 1563926290, 1563926289904
186, 1563926290, 1563926289981
186, 1563926290, 1563926290056
186, 1563926290, 1563926290134
186, 1563926290, 1563926290213
