Power(W), TimePDU(S), TimeNODE(mS)
169, 1563940744, 1563940744662
169, 1563940744, 1563940744739
169, 1563940744, 1563940744817
169, 1563940744, 1563940744896
169, 1563940744, 1563940744973
169, 1563940744, 1563940745051
166, 1563940744, 1563940745130
166, 1563940745, 1563940745207
166, 1563940745, 1563940745289
166, 1563940745, 1563940745367
166, 1563940745, 1563940745445
166, 1563940745, 1563940745524
166, 1563940745, 1563940745602
166, 1563940745, 1563940745679
166, 1563940745, 1563940745756
166, 1563940745, 1563940745833
166, 1563940745, 1563940745909
166, 1563940745, 1563940745986
166, 1563940745, 1563940746064
166, 1563940745, 1563940746144
166, 1563940746, 1563940746223
166, 1563940746, 1563940746301
166, 1563940746, 1563940746378
166, 1563940746, 1563940746456
166, 1563940746, 1563940746533
166, 1563940746, 1563940746611
166, 1563940746, 1563940746689
166, 1563940746, 1563940746766
166, 1563940746, 1563940746844
166, 1563940746, 1563940746921
166, 1563940746, 1563940746998
166, 1563940746, 1563940747076
165, 1563940747, 1563940747156
165, 1563940747, 1563940747234
165, 1563940747, 1563940747314
165, 1563940747, 1563940747392
165, 1563940747, 1563940747469
165, 1563940747, 1563940747547
165, 1563940747, 1563940747624
165, 1563940747, 1563940747703
165, 1563940747, 1563940747782
165, 1563940747, 1563940747859
165, 1563940747, 1563940747936
165, 1563940747, 1563940748014
165, 1563940747, 1563940748093
165, 1563940747, 1563940748170
165, 1563940747, 1563940748248
165, 1563940747, 1563940748326
166, 1563940747, 1563940748403
166, 1563940748, 1563940748483
166, 1563940748, 1563940748559
166, 1563940748, 1563940748635
166, 1563940748, 1563940748714
166, 1563940748, 1563940748793
166, 1563940748, 1563940748870
166, 1563940748, 1563940748948
166, 1563940748, 1563940749025
165, 1563940748, 1563940749104
165, 1563940749, 1563940749185
165, 1563940749, 1563940749263
165, 1563940749, 1563940749341
165, 1563940749, 1563940749419
165, 1563940749, 1563940749496
165, 1563940749, 1563940749573
165, 1563940749, 1563940749650
165, 1563940749, 1563940749727
165, 1563940749, 1563940749805
165, 1563940749, 1563940749884
165, 1563940749, 1563940749963
165, 1563940749, 1563940750040
165, 1563940749, 1563940750117
166, 1563940750, 1563940750195
166, 1563940750, 1563940750271
166, 1563940750, 1563940750348
166, 1563940750, 1563940750425
166, 1563940750, 1563940750503
166, 1563940750, 1563940750582
166, 1563940750, 1563940750659
166, 1563940750, 1563940750736
166, 1563940750, 1563940750813
166, 1563940750, 1563940750892
166, 1563940750, 1563940750971
166, 1563940750, 1563940751049
165, 1563940750, 1563940751127
165, 1563940751, 1563940751206
165, 1563940751, 1563940751284
165, 1563940751, 1563940751362
165, 1563940751, 1563940751440
165, 1563940751, 1563940751517
165, 1563940751, 1563940751594
165, 1563940751, 1563940751672
165, 1563940751, 1563940751751
165, 1563940751, 1563940751828
165, 1563940751, 1563940751905
165, 1563940751, 1563940751983
165, 1563940751, 1563940752061
167, 1563940751, 1563940752140
167, 1563940752, 1563940752217
167, 1563940752, 1563940752295
167, 1563940752, 1563940752372
167, 1563940752, 1563940752449
167, 1563940752, 1563940752527
167, 1563940752, 1563940752606
167, 1563940752, 1563940752684
167, 1563940752, 1563940752763
167, 1563940752, 1563940752841
167, 1563940752, 1563940752919
167, 1563940752, 1563940752995
166, 1563940752, 1563940753075
166, 1563940753, 1563940753154
166, 1563940753, 1563940753233
166, 1563940753, 1563940753311
166, 1563940753, 1563940753389
166, 1563940753, 1563940753462
166, 1563940753, 1563940753533
166, 1563940753, 1563940753606
166, 1563940753, 1563940753683
166, 1563940753, 1563940753760
166, 1563940753, 1563940753838
166, 1563940753, 1563940753915
166, 1563940753, 1563940753991
166, 1563940753, 1563940754070
167, 1563940753, 1563940754147
167, 1563940754, 1563940754226
167, 1563940754, 1563940754301
167, 1563940754, 1563940754377
167, 1563940754, 1563940754454
167, 1563940754, 1563940754531
167, 1563940754, 1563940754609
167, 1563940754, 1563940754685
167, 1563940754, 1563940754764
167, 1563940754, 1563940754839
167, 1563940754, 1563940754916
167, 1563940754, 1563940754993
167, 1563940754, 1563940755071
166, 1563940755, 1563940755149
166, 1563940755, 1563940755227
166, 1563940755, 1563940755304
166, 1563940755, 1563940755381
166, 1563940755, 1563940755458
166, 1563940755, 1563940755534
166, 1563940755, 1563940755611
166, 1563940755, 1563940755689
166, 1563940755, 1563940755766
166, 1563940755, 1563940755843
166, 1563940755, 1563940755921
166, 1563940755, 1563940755997
166, 1563940755, 1563940756074
166, 1563940755, 1563940756151
166, 1563940756, 1563940756230
166, 1563940756, 1563940756306
166, 1563940756, 1563940756384
166, 1563940756, 1563940756461
166, 1563940756, 1563940756538
166, 1563940756, 1563940756615
166, 1563940756, 1563940756692
166, 1563940756, 1563940756769
166, 1563940756, 1563940756847
166, 1563940756, 1563940756925
166, 1563940756, 1563940757003
166, 1563940756, 1563940757081
166, 1563940756, 1563940757159
166, 1563940757, 1563940757237
166, 1563940757, 1563940757314
166, 1563940757, 1563940757392
166, 1563940757, 1563940757470
166, 1563940757, 1563940757550
166, 1563940757, 1563940757627
166, 1563940757, 1563940757706
166, 1563940757, 1563940757785
166, 1563940757, 1563940757863
166, 1563940757, 1563940757942
166, 1563940757, 1563940758019
166, 1563940757, 1563940758096
165, 1563940758, 1563940758176
165, 1563940758, 1563940758254
165, 1563940758, 1563940758332
165, 1563940758, 1563940758410
165, 1563940758, 1563940758487
165, 1563940758, 1563940758564
165, 1563940758, 1563940758642
165, 1563940758, 1563940758720
165, 1563940758, 1563940758796
165, 1563940758, 1563940758875
165, 1563940758, 1563940758952
165, 1563940758, 1563940759031
165, 1563940758, 1563940759107
165, 1563940758, 1563940759185
165, 1563940759, 1563940759263
165, 1563940759, 1563940759341
165, 1563940759, 1563940759419
165, 1563940759, 1563940759497
165, 1563940759, 1563940759574
165, 1563940759, 1563940759653
165, 1563940759, 1563940759730
165, 1563940759, 1563940759807
165, 1563940759, 1563940759885
165, 1563940759, 1563940759964
165, 1563940759, 1563940760042
166, 1563940759, 1563940760119
166, 1563940760, 1563940760198
166, 1563940760, 1563940760277
166, 1563940760, 1563940760354
166, 1563940760, 1563940760433
166, 1563940760, 1563940760511
166, 1563940760, 1563940760588
166, 1563940760, 1563940760665
166, 1563940760, 1563940760745
166, 1563940760, 1563940760823
166, 1563940760, 1563940760899
166, 1563940760, 1563940760978
166, 1563940760, 1563940761056
165, 1563940760, 1563940761134
165, 1563940761, 1563940761213
165, 1563940761, 1563940761288
165, 1563940761, 1563940761364
165, 1563940761, 1563940761443
165, 1563940761, 1563940761521
165, 1563940761, 1563940761597
165, 1563940761, 1563940761675
165, 1563940761, 1563940761754
165, 1563940761, 1563940761831
165, 1563940761, 1563940761909
165, 1563940761, 1563940761986
165, 1563940761, 1563940762064
165, 1563940761, 1563940762144
165, 1563940762, 1563940762220
165, 1563940762, 1563940762298
165, 1563940762, 1563940762376
165, 1563940762, 1563940762454
165, 1563940762, 1563940762533
165, 1563940762, 1563940762611
165, 1563940762, 1563940762689
165, 1563940762, 1563940762766
165, 1563940762, 1563940762844
165, 1563940762, 1563940762924
165, 1563940762, 1563940763001
165, 1563940762, 1563940763079
165, 1563940762, 1563940763156
166, 1563940763, 1563940763234
