Power(W), TimePDU(S), TimeNODE(mS)
169, 1563985567, 1563985567248
169, 1563985567, 1563985567327
169, 1563985567, 1563985567405
169, 1563985567, 1563985567484
169, 1563985567, 1563985567563
169, 1563985567, 1563985567640
169, 1563985567, 1563985567718
169, 1563985567, 1563985567797
192, 1563985567, 1563985567875
192, 1563985568, 1563985567954
192, 1563985568, 1563985568033
192, 1563985568, 1563985568109
192, 1563985568, 1563985568186
192, 1563985568, 1563985568265
192, 1563985568, 1563985568342
192, 1563985568, 1563985568420
192, 1563985568, 1563985568496
192, 1563985568, 1563985568573
192, 1563985568, 1563985568651
192, 1563985568, 1563985568727
192, 1563985568, 1563985568806
217, 1563985568, 1563985568884
217, 1563985569, 1563985568964
217, 1563985569, 1563985569044
217, 1563985569, 1563985569122
217, 1563985569, 1563985569198
217, 1563985569, 1563985569276
217, 1563985569, 1563985569353
217, 1563985569, 1563985569432
217, 1563985569, 1563985569509
217, 1563985569, 1563985569586
217, 1563985569, 1563985569664
217, 1563985569, 1563985569741
217, 1563985569, 1563985569819
214, 1563985569, 1563985569897
214, 1563985570, 1563985569976
214, 1563985570, 1563985570053
214, 1563985570, 1563985570131
214, 1563985570, 1563985570208
214, 1563985570, 1563985570284
214, 1563985570, 1563985570361
214, 1563985570, 1563985570439
214, 1563985570, 1563985570516
214, 1563985570, 1563985570594
214, 1563985570, 1563985570670
214, 1563985570, 1563985570747
214, 1563985570, 1563985570824
197, 1563985571, 1563985570904
197, 1563985571, 1563985570984
197, 1563985571, 1563985571061
197, 1563985571, 1563985571138
197, 1563985571, 1563985571216
197, 1563985571, 1563985571294
197, 1563985571, 1563985571370
197, 1563985571, 1563985571449
197, 1563985571, 1563985571526
197, 1563985571, 1563985571604
197, 1563985571, 1563985571681
197, 1563985571, 1563985571759
207, 1563985571, 1563985571835
207, 1563985572, 1563985571915
207, 1563985572, 1563985571994
207, 1563985572, 1563985572072
207, 1563985572, 1563985572148
207, 1563985572, 1563985572227
207, 1563985572, 1563985572306
207, 1563985572, 1563985572383
207, 1563985572, 1563985572460
207, 1563985572, 1563985572535
207, 1563985572, 1563985572614
207, 1563985572, 1563985572694
207, 1563985572, 1563985572772
207, 1563985572, 1563985572850
180, 1563985573, 1563985572929
180, 1563985573, 1563985573007
180, 1563985573, 1563985573085
180, 1563985573, 1563985573162
180, 1563985573, 1563985573238
180, 1563985573, 1563985573317
180, 1563985573, 1563985573394
180, 1563985573, 1563985573473
180, 1563985573, 1563985573549
180, 1563985573, 1563985573625
180, 1563985573, 1563985573702
180, 1563985573, 1563985573781
172, 1563985574, 1563985573859
172, 1563985574, 1563985573936
172, 1563985574, 1563985574013
172, 1563985574, 1563985574090
172, 1563985574, 1563985574167
172, 1563985574, 1563985574243
172, 1563985574, 1563985574319
172, 1563985574, 1563985574397
172, 1563985574, 1563985574475
172, 1563985574, 1563985574554
172, 1563985574, 1563985574632
172, 1563985574, 1563985574709
172, 1563985574, 1563985574787
172, 1563985574, 1563985574865
172, 1563985575, 1563985574943
172, 1563985575, 1563985575020
172, 1563985575, 1563985575097
172, 1563985575, 1563985575175
172, 1563985575, 1563985575254
172, 1563985575, 1563985575332
172, 1563985575, 1563985575409
172, 1563985575, 1563985575486
172, 1563985575, 1563985575563
172, 1563985575, 1563985575640
172, 1563985575, 1563985575718
172, 1563985575, 1563985575796
172, 1563985575, 1563985575875
173, 1563985576, 1563985575953
173, 1563985576, 1563985576029
173, 1563985576, 1563985576107
173, 1563985576, 1563985576185
173, 1563985576, 1563985576262
173, 1563985576, 1563985576339
173, 1563985576, 1563985576417
173, 1563985576, 1563985576494
173, 1563985576, 1563985576572
173, 1563985576, 1563985576650
173, 1563985576, 1563985576726
173, 1563985576, 1563985576804
212, 1563985576, 1563985576882
212, 1563985577, 1563985576960
212, 1563985577, 1563985577039
212, 1563985577, 1563985577116
212, 1563985577, 1563985577194
212, 1563985577, 1563985577272
212, 1563985577, 1563985577349
212, 1563985577, 1563985577427
212, 1563985577, 1563985577505
212, 1563985577, 1563985577583
212, 1563985577, 1563985577660
212, 1563985577, 1563985577737
212, 1563985577, 1563985577812
212, 1563985577, 1563985577886
203, 1563985578, 1563985577960
203, 1563985578, 1563985578035
203, 1563985578, 1563985578114
203, 1563985578, 1563985578192
203, 1563985578, 1563985578269
203, 1563985578, 1563985578347
203, 1563985578, 1563985578424
203, 1563985578, 1563985578500
203, 1563985578, 1563985578577
203, 1563985578, 1563985578654
203, 1563985578, 1563985578732
203, 1563985578, 1563985578811
184, 1563985578, 1563985578893
184, 1563985579, 1563985578972
184, 1563985579, 1563985579048
184, 1563985579, 1563985579126
184, 1563985579, 1563985579204
184, 1563985579, 1563985579282
184, 1563985579, 1563985579361
184, 1563985579, 1563985579438
184, 1563985579, 1563985579514
184, 1563985579, 1563985579591
184, 1563985579, 1563985579668
184, 1563985579, 1563985579744
184, 1563985579, 1563985579822
184, 1563985579, 1563985579899
172, 1563985580, 1563985579976
172, 1563985580, 1563985580054
172, 1563985580, 1563985580130
172, 1563985580, 1563985580208
172, 1563985580, 1563985580284
172, 1563985580, 1563985580362
172, 1563985580, 1563985580439
172, 1563985580, 1563985580516
