Power(W), TimePDU(S), TimeNODE(mS)
176, 1563969293, 1563969293614
176, 1563969293, 1563969293697
168, 1563969293, 1563969293776
168, 1563969295, 1563969293854
168, 1563969295, 1563969293931
168, 1563969295, 1563969294009
168, 1563969295, 1563969294089
168, 1563969295, 1563969294168
168, 1563969295, 1563969294248
168, 1563969295, 1563969294327
168, 1563969295, 1563969294407
168, 1563969295, 1563969294485
168, 1563969295, 1563969294564
168, 1563969295, 1563969294642
166, 1563969295, 1563969294721
166, 1563969295, 1563969294802
166, 1563969295, 1563969294880
166, 1563969295, 1563969294959
166, 1563969295, 1563969295037
166, 1563969295, 1563969295114
166, 1563969295, 1563969295195
166, 1563969295, 1563969295274
166, 1563969295, 1563969295355
166, 1563969295, 1563969295434
166, 1563969295, 1563969295514
166, 1563969295, 1563969295592
166, 1563969295, 1563969295670
166, 1563969295, 1563969295747
167, 1563969296, 1563969295827
167, 1563969296, 1563969295906
167, 1563969296, 1563969295985
167, 1563969296, 1563969296065
167, 1563969296, 1563969296144
167, 1563969296, 1563969296222
167, 1563969296, 1563969296302
167, 1563969296, 1563969296381
167, 1563969296, 1563969296458
167, 1563969296, 1563969296534
167, 1563969296, 1563969296611
167, 1563969296, 1563969296688
165, 1563969297, 1563969296767
165, 1563969297, 1563969296845
165, 1563969297, 1563969296924
165, 1563969297, 1563969297004
165, 1563969297, 1563969297083
165, 1563969297, 1563969297161
165, 1563969297, 1563969297239
165, 1563969297, 1563969297318
165, 1563969297, 1563969297398
165, 1563969297, 1563969297478
165, 1563969297, 1563969297555
165, 1563969297, 1563969297634
165, 1563969297, 1563969297714
165, 1563969297, 1563969297792
165, 1563969299, 1563969297872
165, 1563969299, 1563969297950
165, 1563969299, 1563969298029
165, 1563969299, 1563969298108
165, 1563969299, 1563969298185
165, 1563969299, 1563969298266
165, 1563969299, 1563969298345
165, 1563969299, 1563969298425
165, 1563969299, 1563969298504
165, 1563969299, 1563969298581
165, 1563969299, 1563969298660
166, 1563969299, 1563969298737
166, 1563969299, 1563969298816
166, 1563969299, 1563969298894
166, 1563969299, 1563969298972
166, 1563969299, 1563969299049
166, 1563969299, 1563969299127
166, 1563969299, 1563969299205
166, 1563969299, 1563969299284
166, 1563969299, 1563969299363
166, 1563969299, 1563969299443
166, 1563969299, 1563969299520
166, 1563969299, 1563969299597
166, 1563969299, 1563969299676
168, 1563969299, 1563969299755
168, 1563969300, 1563969299837
168, 1563969300, 1563969299916
168, 1563969300, 1563969299995
168, 1563969300, 1563969300074
168, 1563969300, 1563969300155
168, 1563969300, 1563969300234
168, 1563969300, 1563969300315
168, 1563969300, 1563969300394
168, 1563969300, 1563969300473
168, 1563969300, 1563969300554
168, 1563969300, 1563969300635
168, 1563969300, 1563969300717
167, 1563969300, 1563969300796
167, 1563969302, 1563969300876
167, 1563969302, 1563969300954
167, 1563969302, 1563969301031
167, 1563969302, 1563969301109
167, 1563969302, 1563969301188
167, 1563969302, 1563969301267
167, 1563969302, 1563969301347
167, 1563969302, 1563969301427
167, 1563969302, 1563969301505
167, 1563969302, 1563969301583
167, 1563969302, 1563969301664
173, 1563969302, 1563969301742
173, 1563969302, 1563969301822
173, 1563969302, 1563969301900
173, 1563969302, 1563969301979
173, 1563969302, 1563969302057
173, 1563969302, 1563969302136
173, 1563969302, 1563969302215
173, 1563969302, 1563969302294
173, 1563969302, 1563969302374
173, 1563969302, 1563969302454
173, 1563969302, 1563969302531
173, 1563969302, 1563969302610
173, 1563969302, 1563969302688
172, 1563969303, 1563969302767
172, 1563969303, 1563969302845
172, 1563969303, 1563969302923
172, 1563969303, 1563969303002
172, 1563969303, 1563969303079
172, 1563969303, 1563969303157
172, 1563969303, 1563969303236
172, 1563969303, 1563969303314
172, 1563969303, 1563969303392
172, 1563969303, 1563969303470
172, 1563969303, 1563969303548
172, 1563969303, 1563969303627
172, 1563969303, 1563969303707
170, 1563969304, 1563969303786
170, 1563969304, 1563969303866
170, 1563969304, 1563969303946
170, 1563969304, 1563969304025
170, 1563969304, 1563969304106
170, 1563969304, 1563969304183
170, 1563969304, 1563969304262
170, 1563969304, 1563969304342
170, 1563969304, 1563969304420
170, 1563969304, 1563969304500
170, 1563969304, 1563969304578
170, 1563969304, 1563969304656
170, 1563969304, 1563969304735
165, 1563969304, 1563969304814
165, 1563969306, 1563969304893
165, 1563969306, 1563969304973
165, 1563969306, 1563969305052
165, 1563969306, 1563969305131
165, 1563969306, 1563969305208
165, 1563969306, 1563969305287
165, 1563969306, 1563969305366
165, 1563969306, 1563969305443
165, 1563969306, 1563969305522
165, 1563969306, 1563969305601
165, 1563969306, 1563969305679
165, 1563969306, 1563969305756
165, 1563969306, 1563969305836
165, 1563969306, 1563969305915
165, 1563969306, 1563969305994
165, 1563969306, 1563969306073
165, 1563969306, 1563969306153
165, 1563969306, 1563969306232
165, 1563969306, 1563969306310
165, 1563969306, 1563969306388
165, 1563969306, 1563969306467
165, 1563969306, 1563969306545
165, 1563969306, 1563969306623
165, 1563969306, 1563969306703
165, 1563969306, 1563969306780
166, 1563969308, 1563969306860
166, 1563969308, 1563969306938
166, 1563969308, 1563969307017
166, 1563969308, 1563969307095
166, 1563969308, 1563969307175
166, 1563969308, 1563969307255
166, 1563969308, 1563969307334
166, 1563969308, 1563969307413
166, 1563969308, 1563969307491
166, 1563969308, 1563969307570
166, 1563969308, 1563969307649
166, 1563969308, 1563969307727
165, 1563969308, 1563969307807
165, 1563969308, 1563969307887
165, 1563969308, 1563969307965
165, 1563969308, 1563969308046
165, 1563969308, 1563969308125
165, 1563969308, 1563969308203
165, 1563969308, 1563969308282
165, 1563969308, 1563969308363
165, 1563969308, 1563969308443
165, 1563969308, 1563969308519
165, 1563969308, 1563969308598
165, 1563969308, 1563969308677
165, 1563969308, 1563969308756
166, 1563969308, 1563969308836
166, 1563969310, 1563969308915
166, 1563969310, 1563969308995
166, 1563969310, 1563969309074
166, 1563969310, 1563969309152
166, 1563969310, 1563969309232
166, 1563969310, 1563969309311
166, 1563969310, 1563969309391
166, 1563969310, 1563969309470
166, 1563969310, 1563969309548
166, 1563969310, 1563969309628
166, 1563969310, 1563969309706
165, 1563969310, 1563969309784
165, 1563969311, 1563969309863
165, 1563969311, 1563969309941
165, 1563969311, 1563969310020
165, 1563969311, 1563969310098
165, 1563969311, 1563969310176
165, 1563969311, 1563969310253
165, 1563969311, 1563969310331
165, 1563969311, 1563969310409
165, 1563969311, 1563969310488
165, 1563969311, 1563969310567
165, 1563969311, 1563969310645
165, 1563969311, 1563969310724
166, 1563969311, 1563969310802
166, 1563969312, 1563969310881
166, 1563969312, 1563969310958
166, 1563969312, 1563969311036
166, 1563969312, 1563969311115
166, 1563969312, 1563969311193
166, 1563969312, 1563969311271
166, 1563969312, 1563969311352
166, 1563969312, 1563969311429
166, 1563969312, 1563969311507
166, 1563969312, 1563969311587
166, 1563969312, 1563969311667
165, 1563969312, 1563969311745
165, 1563969312, 1563969311824
165, 1563969312, 1563969311902
165, 1563969312, 1563969311982
165, 1563969312, 1563969312060
165, 1563969312, 1563969312140
165, 1563969312, 1563969312217
165, 1563969312, 1563969312297
165, 1563969312, 1563969312376
165, 1563969312, 1563969312454
