Power(W), TimePDU(S), TimeNODE(mS)
169, 1563976066, 1563976067102
169, 1563976066, 1563976067179
169, 1563976066, 1563976067256
169, 1563976066, 1563976067334
169, 1563976066, 1563976067413
169, 1563976066, 1563976067494
169, 1563976066, 1563976067574
195, 1563976067, 1563976067654
195, 1563976067, 1563976067733
195, 1563976067, 1563976067811
195, 1563976067, 1563976067889
195, 1563976067, 1563976067967
195, 1563976067, 1563976068044
195, 1563976067, 1563976068122
195, 1563976067, 1563976068200
195, 1563976067, 1563976068280
195, 1563976067, 1563976068356
195, 1563976067, 1563976068433
195, 1563976067, 1563976068512
213, 1563976067, 1563976068590
213, 1563976068, 1563976068668
213, 1563976068, 1563976068747
213, 1563976068, 1563976068826
213, 1563976068, 1563976068903
213, 1563976068, 1563976068983
213, 1563976068, 1563976069062
213, 1563976068, 1563976069142
213, 1563976068, 1563976069219
213, 1563976068, 1563976069297
213, 1563976068, 1563976069376
213, 1563976068, 1563976069455
213, 1563976068, 1563976069535
218, 1563976068, 1563976069614
218, 1563976069, 1563976069693
218, 1563976069, 1563976069772
218, 1563976069, 1563976069856
218, 1563976069, 1563976069934
218, 1563976069, 1563976070013
218, 1563976069, 1563976070090
218, 1563976069, 1563976070168
218, 1563976069, 1563976070247
218, 1563976069, 1563976070326
218, 1563976069, 1563976070403
218, 1563976069, 1563976070482
218, 1563976069, 1563976070563
197, 1563976069, 1563976070645
197, 1563976070, 1563976070725
197, 1563976070, 1563976070803
197, 1563976070, 1563976070879
197, 1563976070, 1563976070956
197, 1563976070, 1563976071034
197, 1563976070, 1563976071112
197, 1563976070, 1563976071190
197, 1563976070, 1563976071268
197, 1563976070, 1563976071347
197, 1563976070, 1563976071425
197, 1563976070, 1563976071504
197, 1563976070, 1563976071584
216, 1563976071, 1563976071665
216, 1563976071, 1563976071745
216, 1563976071, 1563976071824
216, 1563976071, 1563976071903
216, 1563976071, 1563976071983
216, 1563976071, 1563976072060
216, 1563976071, 1563976072140
216, 1563976071, 1563976072217
216, 1563976071, 1563976072296
216, 1563976071, 1563976072375
216, 1563976071, 1563976072454
216, 1563976071, 1563976072534
179, 1563976072, 1563976072614
179, 1563976072, 1563976072691
179, 1563976072, 1563976072768
179, 1563976072, 1563976072845
179, 1563976072, 1563976072922
179, 1563976072, 1563976073002
179, 1563976072, 1563976073080
179, 1563976072, 1563976073158
179, 1563976072, 1563976073237
179, 1563976072, 1563976073315
179, 1563976072, 1563976073395
179, 1563976072, 1563976073473
179, 1563976072, 1563976073553
170, 1563976072, 1563976073630
170, 1563976073, 1563976073708
170, 1563976073, 1563976073787
170, 1563976073, 1563976073867
170, 1563976073, 1563976073944
170, 1563976073, 1563976074024
170, 1563976073, 1563976074102
170, 1563976073, 1563976074180
170, 1563976073, 1563976074260
170, 1563976073, 1563976074337
170, 1563976073, 1563976074417
170, 1563976073, 1563976074495
170, 1563976073, 1563976074574
171, 1563976073, 1563976074653
171, 1563976074, 1563976074731
171, 1563976074, 1563976074810
171, 1563976074, 1563976074889
171, 1563976074, 1563976074967
171, 1563976074, 1563976075045
171, 1563976074, 1563976075125
171, 1563976074, 1563976075204
171, 1563976074, 1563976075283
171, 1563976074, 1563976075361
171, 1563976074, 1563976075438
171, 1563976074, 1563976075518
171, 1563976074, 1563976075596
179, 1563976074, 1563976075675
179, 1563976075, 1563976075754
179, 1563976075, 1563976075834
179, 1563976075, 1563976075913
179, 1563976075, 1563976075992
179, 1563976075, 1563976076070
179, 1563976075, 1563976076147
179, 1563976075, 1563976076225
179, 1563976075, 1563976076305
179, 1563976075, 1563976076385
179, 1563976075, 1563976076464
179, 1563976075, 1563976076544
179, 1563976075, 1563976076621
220, 1563976076, 1563976076699
220, 1563976076, 1563976076777
220, 1563976076, 1563976076856
220, 1563976076, 1563976076933
220, 1563976076, 1563976077010
220, 1563976076, 1563976077087
220, 1563976076, 1563976077165
220, 1563976076, 1563976077244
220, 1563976076, 1563976077322
220, 1563976076, 1563976077402
220, 1563976076, 1563976077479
220, 1563976076, 1563976077554
195, 1563976076, 1563976077627
195, 1563976077, 1563976077707
195, 1563976077, 1563976077786
195, 1563976077, 1563976077865
195, 1563976077, 1563976077944
195, 1563976077, 1563976078024
195, 1563976077, 1563976078104
195, 1563976077, 1563976078183
195, 1563976077, 1563976078261
195, 1563976077, 1563976078338
195, 1563976077, 1563976078416
195, 1563976077, 1563976078495
195, 1563976077, 1563976078575
176, 1563976077, 1563976078655
176, 1563976078, 1563976078734
176, 1563976078, 1563976078810
176, 1563976078, 1563976078888
176, 1563976078, 1563976078966
176, 1563976078, 1563976079044
176, 1563976078, 1563976079124
176, 1563976078, 1563976079201
176, 1563976078, 1563976079280
176, 1563976078, 1563976079357
176, 1563976078, 1563976079435
176, 1563976078, 1563976079515
176, 1563976078, 1563976079593
170, 1563976079, 1563976079673
170, 1563976079, 1563976079749
170, 1563976079, 1563976079827
170, 1563976079, 1563976079904
170, 1563976079, 1563976079985
170, 1563976079, 1563976080087
170, 1563976079, 1563976080219
170, 1563976079, 1563976080305
170, 1563976079, 1563976080376
170, 1563976079, 1563976080449
170, 1563976079, 1563976080524
170, 1563976079, 1563976080601
174, 1563976080, 1563976080682
174, 1563976080, 1563976080759
174, 1563976080, 1563976080837
174, 1563976080, 1563976080914
174, 1563976080, 1563976080992
174, 1563976080, 1563976081071
174, 1563976080, 1563976081149
174, 1563976080, 1563976081228
174, 1563976080, 1563976081307
174, 1563976080, 1563976081386
174, 1563976080, 1563976081465
174, 1563976080, 1563976081545
168, 1563976080, 1563976081624
168, 1563976081, 1563976081705
168, 1563976081, 1563976081786
168, 1563976081, 1563976081863
168, 1563976081, 1563976081943
168, 1563976081, 1563976082023
168, 1563976081, 1563976082100
168, 1563976081, 1563976082178
168, 1563976081, 1563976082258
168, 1563976081, 1563976082335
168, 1563976081, 1563976082414
168, 1563976081, 1563976082494
168, 1563976081, 1563976082573
176, 1563976081, 1563976082653
176, 1563976082, 1563976082734
176, 1563976082, 1563976082813
