Power(W), TimePDU(S), TimeNODE(mS)
169, 1563887318, 1563887319315
169, 1563887318, 1563887319394
169, 1563887318, 1563887319473
169, 1563887318, 1563887319551
169, 1563887318, 1563887319628
169, 1563887318, 1563887319706
169, 1563887318, 1563887319784
169, 1563887318, 1563887319860
169, 1563887318, 1563887319938
193, 1563887318, 1563887320015
193, 1563887319, 1563887320094
193, 1563887319, 1563887320173
193, 1563887319, 1563887320251
193, 1563887319, 1563887320326
193, 1563887319, 1563887320404
193, 1563887319, 1563887320482
193, 1563887319, 1563887320560
193, 1563887319, 1563887320636
193, 1563887319, 1563887320713
193, 1563887319, 1563887320792
193, 1563887319, 1563887320869
193, 1563887319, 1563887320945
193, 1563887319, 1563887321022
215, 1563887319, 1563887321102
215, 1563887320, 1563887321179
215, 1563887320, 1563887321254
215, 1563887320, 1563887321331
215, 1563887320, 1563887321410
215, 1563887320, 1563887321486
215, 1563887320, 1563887321565
215, 1563887320, 1563887321643
215, 1563887320, 1563887321719
215, 1563887320, 1563887321797
215, 1563887320, 1563887321874
215, 1563887320, 1563887321951
210, 1563887320, 1563887322028
210, 1563887321, 1563887322106
210, 1563887321, 1563887322183
210, 1563887321, 1563887322262
210, 1563887321, 1563887322341
210, 1563887321, 1563887322418
210, 1563887321, 1563887322496
210, 1563887321, 1563887322574
210, 1563887321, 1563887322653
210, 1563887321, 1563887322730
210, 1563887321, 1563887322806
210, 1563887321, 1563887322884
210, 1563887321, 1563887322962
210, 1563887321, 1563887323040
198, 1563887322, 1563887323118
198, 1563887322, 1563887323196
198, 1563887322, 1563887323274
198, 1563887322, 1563887323353
198, 1563887322, 1563887323431
198, 1563887322, 1563887323509
198, 1563887322, 1563887323586
198, 1563887322, 1563887323664
198, 1563887322, 1563887323742
198, 1563887322, 1563887323819
198, 1563887322, 1563887323897
198, 1563887322, 1563887323973
202, 1563887322, 1563887324051
202, 1563887323, 1563887324128
202, 1563887323, 1563887324204
202, 1563887323, 1563887324282
202, 1563887323, 1563887324359
202, 1563887323, 1563887324438
202, 1563887323, 1563887324516
202, 1563887323, 1563887324594
202, 1563887323, 1563887324671
202, 1563887323, 1563887324748
202, 1563887323, 1563887324826
202, 1563887323, 1563887324904
202, 1563887323, 1563887324982
174, 1563887323, 1563887325059
174, 1563887324, 1563887325136
174, 1563887324, 1563887325215
174, 1563887324, 1563887325294
174, 1563887324, 1563887325371
174, 1563887324, 1563887325448
174, 1563887324, 1563887325526
174, 1563887324, 1563887325604
174, 1563887324, 1563887325682
174, 1563887324, 1563887325759
174, 1563887324, 1563887325836
174, 1563887324, 1563887325916
174, 1563887324, 1563887325994
171, 1563887325, 1563887326074
171, 1563887325, 1563887326153
171, 1563887325, 1563887326226
171, 1563887325, 1563887326304
171, 1563887325, 1563887326383
171, 1563887325, 1563887326459
171, 1563887325, 1563887326537
171, 1563887325, 1563887326614
171, 1563887325, 1563887326691
171, 1563887325, 1563887326768
171, 1563887325, 1563887326844
171, 1563887325, 1563887326923
171, 1563887325, 1563887327000
172, 1563887325, 1563887327078
172, 1563887326, 1563887327157
172, 1563887326, 1563887327234
172, 1563887326, 1563887327311
172, 1563887326, 1563887327390
172, 1563887326, 1563887327468
172, 1563887326, 1563887327546
172, 1563887326, 1563887327626
172, 1563887326, 1563887327705
172, 1563887326, 1563887327785
172, 1563887326, 1563887327861
172, 1563887326, 1563887327938
172, 1563887326, 1563887328016
186, 1563887326, 1563887328095
186, 1563887327, 1563887328173
186, 1563887327, 1563887328252
186, 1563887327, 1563887328328
186, 1563887327, 1563887328407
186, 1563887327, 1563887328485
186, 1563887327, 1563887328563
186, 1563887327, 1563887328641
186, 1563887327, 1563887328718
186, 1563887327, 1563887328796
186, 1563887327, 1563887328873
186, 1563887327, 1563887328952
186, 1563887327, 1563887329030
219, 1563887328, 1563887329113
219, 1563887328, 1563887329189
219, 1563887328, 1563887329267
219, 1563887328, 1563887329345
219, 1563887328, 1563887329423
219, 1563887328, 1563887329503
219, 1563887328, 1563887329580
219, 1563887328, 1563887329658
219, 1563887328, 1563887329736
219, 1563887328, 1563887329814
219, 1563887328, 1563887329893
219, 1563887328, 1563887329971
193, 1563887328, 1563887330048
193, 1563887329, 1563887330127
193, 1563887329, 1563887330205
193, 1563887329, 1563887330282
193, 1563887329, 1563887330359
193, 1563887329, 1563887330437
193, 1563887329, 1563887330515
193, 1563887329, 1563887330594
193, 1563887329, 1563887330672
193, 1563887329, 1563887330750
193, 1563887329, 1563887330829
193, 1563887329, 1563887330907
193, 1563887329, 1563887330986
193, 1563887329, 1563887331064
169, 1563887330, 1563887331143
169, 1563887330, 1563887331220
169, 1563887330, 1563887331294
169, 1563887330, 1563887331371
169, 1563887330, 1563887331446
169, 1563887330, 1563887331524
169, 1563887330, 1563887331602
169, 1563887330, 1563887331679
169, 1563887330, 1563887331756
169, 1563887330, 1563887331833
169, 1563887330, 1563887331910
169, 1563887330, 1563887331988
167, 1563887331, 1563887332067
167, 1563887331, 1563887332144
167, 1563887331, 1563887332222
167, 1563887331, 1563887332300
167, 1563887331, 1563887332378
167, 1563887331, 1563887332455
167, 1563887331, 1563887332534
167, 1563887331, 1563887332613
167, 1563887331, 1563887332689
167, 1563887331, 1563887332764
167, 1563887331, 1563887332840
167, 1563887331, 1563887332913
167, 1563887331, 1563887332992
166, 1563887331, 1563887333069
166, 1563887332, 1563887333146
166, 1563887332, 1563887333224
166, 1563887332, 1563887333303
166, 1563887332, 1563887333380
166, 1563887332, 1563887333459
166, 1563887332, 1563887333537
166, 1563887332, 1563887333615
166, 1563887332, 1563887333692
166, 1563887332, 1563887333769
166, 1563887332, 1563887333846
166, 1563887332, 1563887333924
166, 1563887332, 1563887334002
166, 1563887332, 1563887334079
166, 1563887333, 1563887334154
166, 1563887333, 1563887334230
166, 1563887333, 1563887334307
166, 1563887333, 1563887334384
166, 1563887333, 1563887334461
166, 1563887333, 1563887334539
166, 1563887333, 1563887334615
166, 1563887333, 1563887334693
166, 1563887333, 1563887334772
166, 1563887333, 1563887334849
166, 1563887333, 1563887334928
166, 1563887333, 1563887335005
178, 1563887333, 1563887335083
178, 1563887334, 1563887335162
178, 1563887334, 1563887335240
178, 1563887334, 1563887335317
178, 1563887334, 1563887335393
178, 1563887334, 1563887335468
178, 1563887334, 1563887335543
178, 1563887334, 1563887335618
178, 1563887334, 1563887335693
178, 1563887334, 1563887335770
178, 1563887334, 1563887335847
178, 1563887334, 1563887335923
178, 1563887334, 1563887336002
166, 1563887335, 1563887336080
166, 1563887335, 1563887336158
166, 1563887335, 1563887336235
166, 1563887335, 1563887336311
166, 1563887335, 1563887336390
166, 1563887335, 1563887336467
166, 1563887335, 1563887336544
166, 1563887335, 1563887336622
166, 1563887335, 1563887336699
166, 1563887335, 1563887336772
166, 1563887335, 1563887336844
166, 1563887335, 1563887336923
166, 1563887335, 1563887337000
166, 1563887335, 1563887337077
165, 1563887336, 1563887337155
165, 1563887336, 1563887337233
165, 1563887336, 1563887337309
165, 1563887336, 1563887337387
165, 1563887336, 1563887337465
165, 1563887336, 1563887337543
165, 1563887336, 1563887337619
165, 1563887336, 1563887337696
165, 1563887336, 1563887337775
165, 1563887336, 1563887337853
165, 1563887336, 1563887337932
165, 1563887336, 1563887338009
166, 1563887336, 1563887338087
166, 1563887337, 1563887338165
166, 1563887337, 1563887338242
166, 1563887337, 1563887338319
166, 1563887337, 1563887338396
166, 1563887337, 1563887338471
166, 1563887337, 1563887338544
166, 1563887337, 1563887338625
166, 1563887337, 1563887338701
166, 1563887337, 1563887338777
166, 1563887337, 1563887338853
166, 1563887337, 1563887338929
166, 1563887337, 1563887339006
165, 1563887337, 1563887339084
165, 1563887338, 1563887339161
165, 1563887338, 1563887339234
165, 1563887338, 1563887339309
165, 1563887338, 1563887339386
165, 1563887338, 1563887339464
165, 1563887338, 1563887339538
165, 1563887338, 1563887339613
165, 1563887338, 1563887339688
165, 1563887338, 1563887339766
165, 1563887338, 1563887339843
165, 1563887338, 1563887339921
165, 1563887338, 1563887339997
172, 1563887339, 1563887340074
172, 1563887339, 1563887340150
172, 1563887339, 1563887340226
172, 1563887339, 1563887340303
172, 1563887339, 1563887340381
172, 1563887339, 1563887340460
172, 1563887339, 1563887340536
170, 1563887340, 1563887341108
170, 1563887340, 1563887341185
170, 1563887340, 1563887341264
170, 1563887340, 1563887341342
170, 1563887340, 1563887341419
170, 1563887340, 1563887341494
170, 1563887340, 1563887341569
170, 1563887340, 1563887341648
170, 1563887340, 1563887341725
170, 1563887340, 1563887341884
170, 1563887340, 1563887341959
170, 1563887340, 1563887342037
168, 1563887340, 1563887342115
168, 1563887341, 1563887342195
168, 1563887341, 1563887342273
168, 1563887341, 1563887342351
168, 1563887341, 1563887342429
168, 1563887341, 1563887342506
168, 1563887341, 1563887342584
168, 1563887341, 1563887342656
168, 1563887341, 1563887342732
168, 1563887341, 1563887342808
168, 1563887341, 1563887342882
168, 1563887341, 1563887342958
168, 1563887341, 1563887343034
197, 1563887342, 1563887343113
197, 1563887342, 1563887343192
197, 1563887342, 1563887343267
197, 1563887342, 1563887343345
197, 1563887342, 1563887343424
197, 1563887342, 1563887343501
