Power(W), TimePDU(S), TimeNODE(mS)
171, 1563897276, 1563897276424
171, 1563897276, 1563897276504
171, 1563897276, 1563897276583
171, 1563897276, 1563897276661
171, 1563897276, 1563897276736
171, 1563897276, 1563897276815
171, 1563897276, 1563897276892
171, 1563897276, 1563897276970
171, 1563897276, 1563897277047
167, 1563897276, 1563897277124
167, 1563897278, 1563897277204
167, 1563897278, 1563897277281
167, 1563897278, 1563897277358
167, 1563897278, 1563897277435
167, 1563897278, 1563897277513
167, 1563897278, 1563897277590
167, 1563897278, 1563897277667
167, 1563897278, 1563897277746
167, 1563897278, 1563897277824
167, 1563897278, 1563897277901
167, 1563897278, 1563897277979
167, 1563897278, 1563897278057
166, 1563897278, 1563897278135
166, 1563897279, 1563897278215
166, 1563897279, 1563897278292
166, 1563897279, 1563897278369
166, 1563897279, 1563897278446
166, 1563897279, 1563897278522
166, 1563897279, 1563897278599
166, 1563897279, 1563897278676
166, 1563897279, 1563897278755
166, 1563897279, 1563897278833
166, 1563897279, 1563897278912
166, 1563897279, 1563897278988
166, 1563897279, 1563897279067
166, 1563897279, 1563897279147
166, 1563897279, 1563897279223
166, 1563897279, 1563897279299
166, 1563897279, 1563897279377
166, 1563897279, 1563897279455
166, 1563897279, 1563897279535
166, 1563897279, 1563897279614
166, 1563897279, 1563897279690
166, 1563897279, 1563897279768
166, 1563897279, 1563897279845
166, 1563897279, 1563897279922
166, 1563897279, 1563897279999
166, 1563897279, 1563897280076
167, 1563897279, 1563897280154
167, 1563897281, 1563897280234
167, 1563897281, 1563897280313
167, 1563897281, 1563897280392
167, 1563897281, 1563897280469
167, 1563897281, 1563897280545
167, 1563897281, 1563897280619
167, 1563897281, 1563897280693
167, 1563897281, 1563897280766
167, 1563897281, 1563897280842
167, 1563897281, 1563897280915
167, 1563897281, 1563897280990
167, 1563897281, 1563897281066
166, 1563897281, 1563897281148
166, 1563897281, 1563897281225
166, 1563897281, 1563897281303
166, 1563897281, 1563897281380
166, 1563897281, 1563897281457
166, 1563897281, 1563897281535
166, 1563897281, 1563897281613
166, 1563897281, 1563897281690
166, 1563897281, 1563897281768
166, 1563897281, 1563897282042
166, 1563897281, 1563897282116
166, 1563897283, 1563897282195
166, 1563897283, 1563897282273
166, 1563897283, 1563897282352
166, 1563897283, 1563897282429
166, 1563897283, 1563897282506
166, 1563897283, 1563897282583
166, 1563897283, 1563897282660
166, 1563897283, 1563897282738
166, 1563897283, 1563897282816
166, 1563897283, 1563897282893
166, 1563897283, 1563897282970
166, 1563897283, 1563897283046
166, 1563897283, 1563897283125
166, 1563897284, 1563897283202
166, 1563897284, 1563897283277
166, 1563897284, 1563897283350
166, 1563897284, 1563897283421
166, 1563897284, 1563897283499
166, 1563897284, 1563897283577
166, 1563897284, 1563897283655
166, 1563897284, 1563897283733
166, 1563897284, 1563897283812
166, 1563897284, 1563897283888
166, 1563897284, 1563897283966
166, 1563897284, 1563897284044
166, 1563897284, 1563897284123
166, 1563897285, 1563897284197
166, 1563897285, 1563897284274
166, 1563897285, 1563897284351
166, 1563897285, 1563897284426
166, 1563897285, 1563897284503
166, 1563897285, 1563897284581
166, 1563897285, 1563897284658
166, 1563897285, 1563897284736
166, 1563897285, 1563897284811
166, 1563897285, 1563897284887
166, 1563897285, 1563897284965
166, 1563897285, 1563897285042
165, 1563897285, 1563897285119
165, 1563897286, 1563897285197
165, 1563897286, 1563897285275
165, 1563897286, 1563897285353
165, 1563897286, 1563897285431
165, 1563897286, 1563897285508
165, 1563897286, 1563897285586
165, 1563897286, 1563897285659
165, 1563897286, 1563897285735
165, 1563897286, 1563897285811
165, 1563897286, 1563897285886
165, 1563897286, 1563897285964
165, 1563897286, 1563897286043
165, 1563897286, 1563897286121
165, 1563897287, 1563897286200
165, 1563897287, 1563897286277
165, 1563897287, 1563897286356
165, 1563897287, 1563897286433
165, 1563897287, 1563897286509
165, 1563897287, 1563897286588
165, 1563897287, 1563897286666
165, 1563897287, 1563897286744
165, 1563897287, 1563897286822
165, 1563897287, 1563897286899
165, 1563897287, 1563897287296
165, 1563897287, 1563897287373
165, 1563897287, 1563897287448
165, 1563897287, 1563897287525
165, 1563897287, 1563897287603
165, 1563897287, 1563897287680
165, 1563897287, 1563897287758
165, 1563897287, 1563897287836
165, 1563897287, 1563897287914
165, 1563897287, 1563897287993
165, 1563897287, 1563897288072
165, 1563897287, 1563897288149
165, 1563897287, 1563897288228
165, 1563897287, 1563897288305
166, 1563897287, 1563897288382
166, 1563897289, 1563897288459
166, 1563897289, 1563897288536
166, 1563897289, 1563897288614
166, 1563897289, 1563897288694
166, 1563897289, 1563897288769
166, 1563897289, 1563897288845
166, 1563897289, 1563897288922
166, 1563897289, 1563897289000
166, 1563897289, 1563897289075
165, 1563897289, 1563897289154
165, 1563897289, 1563897289228
165, 1563897289, 1563897289304
165, 1563897289, 1563897289382
165, 1563897289, 1563897289459
165, 1563897289, 1563897289539
165, 1563897289, 1563897289615
165, 1563897289, 1563897289696
165, 1563897289, 1563897289774
165, 1563897289, 1563897289852
165, 1563897289, 1563897289929
165, 1563897289, 1563897290006
165, 1563897289, 1563897290086
165, 1563897289, 1563897290164
165, 1563897289, 1563897290240
165, 1563897289, 1563897290316
165, 1563897289, 1563897290392
165, 1563897291, 1563897290469
165, 1563897291, 1563897290545
165, 1563897291, 1563897290619
165, 1563897291, 1563897290698
165, 1563897291, 1563897290776
165, 1563897291, 1563897290853
165, 1563897291, 1563897290929
165, 1563897291, 1563897291009
165, 1563897291, 1563897291086
165, 1563897291, 1563897291162
165, 1563897292, 1563897291239
165, 1563897292, 1563897291313
165, 1563897292, 1563897291390
165, 1563897292, 1563897291468
165, 1563897292, 1563897291543
165, 1563897292, 1563897291622
165, 1563897292, 1563897291699
165, 1563897292, 1563897291777
165, 1563897292, 1563897291854
165, 1563897292, 1563897291931
165, 1563897292, 1563897292008
166, 1563897293, 1563897292270
166, 1563897293, 1563897292346
166, 1563897293, 1563897292421
166, 1563897293, 1563897292497
166, 1563897293, 1563897292574
166, 1563897293, 1563897292652
166, 1563897293, 1563897292732
166, 1563897293, 1563897292810
166, 1563897293, 1563897292885
166, 1563897293, 1563897292961
166, 1563897293, 1563897293036
165, 1563897293, 1563897293117
165, 1563897293, 1563897293195
165, 1563897293, 1563897293272
165, 1563897293, 1563897293348
165, 1563897293, 1563897293426
165, 1563897293, 1563897293502
165, 1563897293, 1563897293580
165, 1563897293, 1563897293657
165, 1563897293, 1563897293731
165, 1563897293, 1563897293808
165, 1563897293, 1563897293886
165, 1563897293, 1563897293964
165, 1563897293, 1563897294042
165, 1563897293, 1563897294120
165, 1563897295, 1563897294197
165, 1563897295, 1563897294274
165, 1563897295, 1563897294353
165, 1563897295, 1563897294429
165, 1563897295, 1563897294504
165, 1563897295, 1563897294581
165, 1563897295, 1563897294656
165, 1563897295, 1563897294732
165, 1563897295, 1563897294809
165, 1563897295, 1563897294883
165, 1563897295, 1563897294958
165, 1563897295, 1563897295030
165, 1563897295, 1563897295105
165, 1563897296, 1563897295185
165, 1563897296, 1563897295263
165, 1563897296, 1563897295342
165, 1563897296, 1563897295419
165, 1563897296, 1563897295495
165, 1563897296, 1563897295574
165, 1563897296, 1563897295653
165, 1563897296, 1563897295732
165, 1563897296, 1563897295809
