Power(W), TimePDU(S), TimeNODE(mS)
167, 1564295615, 1564295615482
167, 1564295615, 1564295615560
167, 1564295615, 1564295615637
167, 1564295615, 1564295615714
167, 1564295615, 1564295615792
167, 1564295615, 1564295615868
167, 1564295615, 1564295615945
167, 1564295615, 1564295616025
167, 1564295615, 1564295616104
198, 1564295616, 1564295616184
198, 1564295616, 1564295616263
198, 1564295616, 1564295616342
198, 1564295616, 1564295616420
198, 1564295616, 1564295616497
198, 1564295616, 1564295616575
198, 1564295616, 1564295616653
198, 1564295616, 1564295616730
198, 1564295616, 1564295616808
198, 1564295616, 1564295616886
198, 1564295616, 1564295616964
198, 1564295616, 1564295617043
198, 1564295616, 1564295617119
212, 1564295616, 1564295617197
212, 1564295617, 1564295617274
212, 1564295617, 1564295617352
212, 1564295617, 1564295617431
212, 1564295617, 1564295617509
212, 1564295617, 1564295617587
212, 1564295617, 1564295617665
212, 1564295617, 1564295617743
212, 1564295617, 1564295617819
212, 1564295617, 1564295617896
212, 1564295617, 1564295617974
212, 1564295617, 1564295618053
194, 1564295617, 1564295618132
194, 1564295618, 1564295618211
194, 1564295618, 1564295618287
194, 1564295618, 1564295618366
194, 1564295618, 1564295618445
194, 1564295618, 1564295618524
194, 1564295618, 1564295618602
194, 1564295618, 1564295618680
194, 1564295618, 1564295618756
194, 1564295618, 1564295618831
194, 1564295618, 1564295618908
194, 1564295618, 1564295618987
194, 1564295618, 1564295619066
194, 1564295618, 1564295619143
195, 1564295619, 1564295619223
195, 1564295619, 1564295619303
195, 1564295619, 1564295619381
195, 1564295619, 1564295619459
195, 1564295619, 1564295619537
195, 1564295619, 1564295619615
195, 1564295619, 1564295619694
195, 1564295619, 1564295619771
195, 1564295619, 1564295619849
195, 1564295619, 1564295619924
195, 1564295619, 1564295620003
195, 1564295619, 1564295620082
208, 1564295619, 1564295620160
208, 1564295620, 1564295620238
208, 1564295620, 1564295620316
208, 1564295620, 1564295620395
208, 1564295620, 1564295620473
208, 1564295620, 1564295620550
208, 1564295620, 1564295620627
208, 1564295620, 1564295620705
208, 1564295620, 1564295620784
208, 1564295620, 1564295620862
208, 1564295620, 1564295620941
208, 1564295620, 1564295621019
208, 1564295620, 1564295621098
205, 1564295620, 1564295621175
205, 1564295621, 1564295621255
205, 1564295621, 1564295621333
205, 1564295621, 1564295621413
205, 1564295621, 1564295621490
205, 1564295621, 1564295621567
205, 1564295621, 1564295621645
205, 1564295621, 1564295621724
205, 1564295621, 1564295621803
205, 1564295621, 1564295621882
205, 1564295621, 1564295621958
