Power(W), TimePDU(S), TimeNODE(mS)
170, 1564230023, 1564230023753
170, 1564230023, 1564230023832
170, 1564230023, 1564230023909
170, 1564230023, 1564230023987
170, 1564230023, 1564230024066
170, 1564230023, 1564230024145
170, 1564230023, 1564230024225
170, 1564230023, 1564230024302
170, 1564230023, 1564230024380
200, 1564230024, 1564230024463
200, 1564230024, 1564230024539
200, 1564230024, 1564230024616
200, 1564230024, 1564230024695
200, 1564230024, 1564230024772
200, 1564230024, 1564230024849
200, 1564230024, 1564230024925
200, 1564230024, 1564230025005
200, 1564230024, 1564230025084
200, 1564230024, 1564230025162
200, 1564230024, 1564230025240
200, 1564230024, 1564230025317
212, 1564230024, 1564230025395
212, 1564230025, 1564230025474
212, 1564230025, 1564230025552
212, 1564230025, 1564230025631
212, 1564230025, 1564230025708
212, 1564230025, 1564230025785
212, 1564230025, 1564230025863
212, 1564230025, 1564230025942
212, 1564230025, 1564230026019
212, 1564230025, 1564230026095
212, 1564230025, 1564230026173
212, 1564230025, 1564230026253
212, 1564230025, 1564230026331
195, 1564230025, 1564230026406
195, 1564230026, 1564230026485
195, 1564230026, 1564230026565
195, 1564230026, 1564230026641
195, 1564230026, 1564230026718
195, 1564230026, 1564230026795
195, 1564230026, 1564230026872
195, 1564230026, 1564230026949
195, 1564230026, 1564230027029
195, 1564230026, 1564230027106
195, 1564230026, 1564230027184
195, 1564230026, 1564230027263
195, 1564230026, 1564230027339
193, 1564230027, 1564230027429
193, 1564230027, 1564230027506
193, 1564230027, 1564230027584
193, 1564230027, 1564230027663
193, 1564230027, 1564230027739
193, 1564230027, 1564230027816
193, 1564230027, 1564230027895
193, 1564230027, 1564230027973
193, 1564230027, 1564230028051
193, 1564230027, 1564230028129
193, 1564230027, 1564230028206
193, 1564230027, 1564230028284
193, 1564230027, 1564230028362
211, 1564230027, 1564230028440
211, 1564230028, 1564230028520
211, 1564230028, 1564230028597
211, 1564230028, 1564230028675
211, 1564230028, 1564230028754
211, 1564230028, 1564230028831
211, 1564230028, 1564230028908
211, 1564230028, 1564230028986
211, 1564230028, 1564230029065
211, 1564230028, 1564230029142
211, 1564230028, 1564230029219
211, 1564230028, 1564230029296
211, 1564230028, 1564230029373
193, 1564230029, 1564230029452
193, 1564230029, 1564230029531
193, 1564230029, 1564230029607
193, 1564230029, 1564230029685
193, 1564230029, 1564230029763
193, 1564230029, 1564230029839
193, 1564230029, 1564230029916
193, 1564230029, 1564230029994
193, 1564230029, 1564230030072
193, 1564230029, 1564230030150
193, 1564230029, 1564230030230
193, 1564230029, 1564230030307
193, 1564230029, 1564230030385
173, 1564230030, 1564230030465
173, 1564230030, 1564230030545
173, 1564230030, 1564230030624
173, 1564230030, 1564230030701
173, 1564230030, 1564230030783
173, 1564230030, 1564230030862
173, 1564230030, 1564230030943
173, 1564230030, 1564230031020
173, 1564230030, 1564230031098
173, 1564230030, 1564230031175
173, 1564230030, 1564230031252
173, 1564230030, 1564230031330
231, 1564230030, 1564230031406
231, 1564230031, 1564230031487
231, 1564230031, 1564230031565
231, 1564230031, 1564230031644
231, 1564230031, 1564230031722
231, 1564230031, 1564230031799
231, 1564230031, 1564230031877
231, 1564230031, 1564230031954
231, 1564230031, 1564230032033
231, 1564230031, 1564230032112
231, 1564230031, 1564230032190
231, 1564230031, 1564230032269
231, 1564230031, 1564230032347
231, 1564230031, 1564230032425
242, 1564230032, 1564230032504
242, 1564230032, 1564230032582
242, 1564230032, 1564230032660
242, 1564230032, 1564230032736
242, 1564230032, 1564230032814
242, 1564230032, 1564230032892
242, 1564230032, 1564230032969
242, 1564230032, 1564230033047
242, 1564230032, 1564230033125
242, 1564230032, 1564230033203
242, 1564230032, 1564230033282
242, 1564230032, 1564230033360
216, 1564230033, 1564230033439
216, 1564230033, 1564230033516
216, 1564230033, 1564230033595
216, 1564230033, 1564230033673
216, 1564230033, 1564230033748
216, 1564230033, 1564230033827
216, 1564230033, 1564230033905
216, 1564230033, 1564230033983
216, 1564230033, 1564230034061
216, 1564230033, 1564230034138
216, 1564230033, 1564230034216
216, 1564230033, 1564230034294
216, 1564230033, 1564230034374
188, 1564230034, 1564230034455
188, 1564230034, 1564230034534
188, 1564230034, 1564230034613
188, 1564230034, 1564230034688
188, 1564230034, 1564230034767
188, 1564230034, 1564230034845
188, 1564230034, 1564230034923
188, 1564230034, 1564230035001
188, 1564230034, 1564230035079
188, 1564230034, 1564230035163
188, 1564230034, 1564230035243
188, 1564230034, 1564230035322
189, 1564230034, 1564230035402
189, 1564230035, 1564230035481
189, 1564230035, 1564230035557
189, 1564230035, 1564230035636
189, 1564230035, 1564230035715
189, 1564230035, 1564230035792
189, 1564230035, 1564230035871
189, 1564230035, 1564230035949
189, 1564230035, 1564230036027
189, 1564230035, 1564230036108
189, 1564230035, 1564230036186
189, 1564230035, 1564230036265
189, 1564230035, 1564230036343
190, 1564230035, 1564230036421
190, 1564230036, 1564230036499
190, 1564230036, 1564230036577
190, 1564230036, 1564230036656
190, 1564230036, 1564230036735
190, 1564230036, 1564230036813
190, 1564230036, 1564230036891
190, 1564230036, 1564230036968
190, 1564230036, 1564230037044
190, 1564230036, 1564230037123
190, 1564230036, 1564230037200
190, 1564230036, 1564230037278
190, 1564230036, 1564230037356
191, 1564230036, 1564230037435
191, 1564230037, 1564230037514
191, 1564230037, 1564230037594
191, 1564230037, 1564230037669
191, 1564230037, 1564230037745
191, 1564230037, 1564230037824
