Power(W), TimePDU(S), TimeNODE(mS)
173, 1564233996, 1564233996573
173, 1564233996, 1564233996652
173, 1564233996, 1564233996729
173, 1564233996, 1564233996807
173, 1564233996, 1564233996884
173, 1564233996, 1564233996962
169, 1564233996, 1564233997039
169, 1564233997, 1564233997117
169, 1564233997, 1564233997193
169, 1564233997, 1564233997271
169, 1564233997, 1564233997350
169, 1564233997, 1564233997426
169, 1564233997, 1564233997504
169, 1564233997, 1564233997580
169, 1564233997, 1564233997656
169, 1564233997, 1564233997734
169, 1564233997, 1564233997811
169, 1564233997, 1564233997889
169, 1564233997, 1564233997967
169, 1564233998, 1564233998045
169, 1564233998, 1564233998120
169, 1564233998, 1564233998197
169, 1564233998, 1564233998275
169, 1564233998, 1564233998354
169, 1564233998, 1564233998432
169, 1564233998, 1564233998511
169, 1564233998, 1564233998589
169, 1564233998, 1564233998665
169, 1564233998, 1564233998743
169, 1564233998, 1564233998819
169, 1564233998, 1564233998897
169, 1564233998, 1564233998973
168, 1564233998, 1564233999052
168, 1564233999, 1564233999131
168, 1564233999, 1564233999209
168, 1564233999, 1564233999286
168, 1564233999, 1564233999364
168, 1564233999, 1564233999442
168, 1564233999, 1564233999521
168, 1564233999, 1564233999598
168, 1564233999, 1564233999675
168, 1564233999, 1564233999754
168, 1564233999, 1564233999833
168, 1564233999, 1564233999910
168, 1564233999, 1564233999985
168, 1564234000, 1564234000065
168, 1564234000, 1564234000142
168, 1564234000, 1564234000219
168, 1564234000, 1564234000297
168, 1564234000, 1564234000374
168, 1564234000, 1564234000448
168, 1564234000, 1564234000525
168, 1564234000, 1564234000604
168, 1564234000, 1564234000680
168, 1564234000, 1564234000756
168, 1564234000, 1564234000832
168, 1564234000, 1564234000907
168, 1564234000, 1564234000982
167, 1564234000, 1564234001060
167, 1564234001, 1564234001139
167, 1564234001, 1564234001216
167, 1564234001, 1564234001292
167, 1564234001, 1564234001370
167, 1564234001, 1564234001446
167, 1564234001, 1564234001522
167, 1564234001, 1564234001601
167, 1564234001, 1564234001678
167, 1564234001, 1564234001755
167, 1564234001, 1564234001831
167, 1564234001, 1564234001905
167, 1564234001, 1564234001980
166, 1564234001, 1564234002056
166, 1564234002, 1564234002135
166, 1564234002, 1564234002211
166, 1564234002, 1564234002282
166, 1564234002, 1564234002356
166, 1564234002, 1564234002430
166, 1564234002, 1564234002507
166, 1564234002, 1564234002583
166, 1564234002, 1564234002660
166, 1564234002, 1564234002735
166, 1564234002, 1564234002810
166, 1564234002, 1564234002885
166, 1564234002, 1564234002959
166, 1564234002, 1564234003032
166, 1564234003, 1564234003109
166, 1564234003, 1564234003182
166, 1564234003, 1564234003255
166, 1564234003, 1564234003332
166, 1564234003, 1564234003408
166, 1564234003, 1564234003482
166, 1564234003, 1564234003555
166, 1564234003, 1564234003632
166, 1564234003, 1564234003708
