Power(W), TimePDU(S), TimeNODE(mS)
168, 1564202033, 1564202033392
168, 1564202033, 1564202033471
168, 1564202033, 1564202033548
168, 1564202033, 1564202033625
168, 1564202033, 1564202033703
182, 1564202034, 1564202033783
182, 1564202034, 1564202033861
182, 1564202034, 1564202033937
182, 1564202034, 1564202034013
182, 1564202034, 1564202034092
182, 1564202034, 1564202034170
182, 1564202034, 1564202034248
182, 1564202034, 1564202034325
182, 1564202034, 1564202034404
182, 1564202034, 1564202034481
182, 1564202034, 1564202034559
182, 1564202034, 1564202034636
182, 1564202034, 1564202034715
219, 1564202034, 1564202034795
219, 1564202035, 1564202034875
219, 1564202035, 1564202034954
219, 1564202035, 1564202035030
219, 1564202035, 1564202035106
219, 1564202035, 1564202035184
219, 1564202035, 1564202035261
219, 1564202035, 1564202035338
219, 1564202035, 1564202035415
219, 1564202035, 1564202035494
219, 1564202035, 1564202035572
219, 1564202035, 1564202035649
201, 1564202035, 1564202035727
201, 1564202036, 1564202035805
201, 1564202036, 1564202035884
201, 1564202036, 1564202035961
201, 1564202036, 1564202036038
201, 1564202036, 1564202036115
201, 1564202036, 1564202036193
201, 1564202036, 1564202036271
201, 1564202036, 1564202036350
201, 1564202036, 1564202036428
201, 1564202036, 1564202036506
201, 1564202036, 1564202036583
201, 1564202036, 1564202036662
193, 1564202037, 1564202036743
193, 1564202037, 1564202036823
193, 1564202037, 1564202036900
193, 1564202037, 1564202036977
193, 1564202037, 1564202037055
193, 1564202037, 1564202037132
193, 1564202037, 1564202037208
193, 1564202037, 1564202037285
193, 1564202037, 1564202037363
193, 1564202037, 1564202037442
193, 1564202037, 1564202037520
193, 1564202037, 1564202037597
193, 1564202037, 1564202037674
199, 1564202037, 1564202037753
199, 1564202038, 1564202037833
199, 1564202038, 1564202037911
199, 1564202038, 1564202037986
199, 1564202038, 1564202038063
199, 1564202038, 1564202038141
199, 1564202038, 1564202038220
199, 1564202038, 1564202038296
199, 1564202038, 1564202038370
199, 1564202038, 1564202038446
199, 1564202038, 1564202038524
199, 1564202038, 1564202038603
199, 1564202038, 1564202038681
199, 1564202038, 1564202038758
208, 1564202039, 1564202038837
208, 1564202039, 1564202038914
208, 1564202039, 1564202038992
208, 1564202039, 1564202039069
208, 1564202039, 1564202039145
208, 1564202039, 1564202039224
208, 1564202039, 1564202039303
208, 1564202039, 1564202039382
208, 1564202039, 1564202039459
208, 1564202039, 1564202039536
208, 1564202039, 1564202039613
208, 1564202039, 1564202039693
175, 1564202039, 1564202039773
175, 1564202040, 1564202039852
175, 1564202040, 1564202039929
175, 1564202040, 1564202040010
175, 1564202040, 1564202040215
175, 1564202040, 1564202040290
175, 1564202040, 1564202040363
175, 1564202040, 1564202040437
175, 1564202040, 1564202040515
175, 1564202040, 1564202040591
175, 1564202040, 1564202040669
190, 1564202041, 1564202040749
190, 1564202041, 1564202040827
190, 1564202041, 1564202040905
190, 1564202041, 1564202040982
190, 1564202041, 1564202041058
190, 1564202041, 1564202041136
190, 1564202041, 1564202041214
190, 1564202041, 1564202041293
190, 1564202041, 1564202041372
190, 1564202041, 1564202041450
190, 1564202041, 1564202041528
190, 1564202041, 1564202041604
190, 1564202041, 1564202041683
242, 1564202041, 1564202041762
242, 1564202042, 1564202041840
242, 1564202042, 1564202041918
242, 1564202042, 1564202041996
242, 1564202042, 1564202042073
242, 1564202042, 1564202042150
242, 1564202042, 1564202042227
242, 1564202042, 1564202042304
242, 1564202042, 1564202042383
242, 1564202042, 1564202042457
242, 1564202042, 1564202042535
242, 1564202042, 1564202042613
242, 1564202042, 1564202042693
223, 1564202042, 1564202042772
223, 1564202043, 1564202042852
223, 1564202043, 1564202042929
223, 1564202043, 1564202043006
223, 1564202043, 1564202043084
223, 1564202043, 1564202043163
223, 1564202043, 1564202043238
223, 1564202043, 1564202043316
223, 1564202043, 1564202043395
223, 1564202043, 1564202043474
223, 1564202043, 1564202043552
223, 1564202043, 1564202043630
223, 1564202043, 1564202043708
197, 1564202044, 1564202043787
197, 1564202044, 1564202043865
197, 1564202044, 1564202043943
197, 1564202044, 1564202044020
197, 1564202044, 1564202044097
197, 1564202044, 1564202044175
197, 1564202044, 1564202044253
197, 1564202044, 1564202044331
197, 1564202044, 1564202044408
197, 1564202044, 1564202044485
197, 1564202044, 1564202044564
197, 1564202044, 1564202044642
197, 1564202044, 1564202044719
196, 1564202044, 1564202044796
196, 1564202045, 1564202044875
196, 1564202045, 1564202044953
196, 1564202045, 1564202045029
196, 1564202045, 1564202045108
196, 1564202045, 1564202045185
196, 1564202045, 1564202045265
196, 1564202045, 1564202045343
196, 1564202045, 1564202045421
196, 1564202045, 1564202045499
196, 1564202045, 1564202045577
196, 1564202045, 1564202045655
190, 1564202045, 1564202045729
190, 1564202046, 1564202045807
190, 1564202046, 1564202045885
190, 1564202046, 1564202045962
190, 1564202046, 1564202046040
190, 1564202046, 1564202046118
190, 1564202046, 1564202046194
190, 1564202046, 1564202046272
190, 1564202046, 1564202046352
190, 1564202046, 1564202046430
190, 1564202046, 1564202046508
190, 1564202046, 1564202046585
190, 1564202046, 1564202046662
190, 1564202046, 1564202046740
189, 1564202047, 1564202046819
189, 1564202047, 1564202046897
189, 1564202047, 1564202046973
189, 1564202047, 1564202047052
189, 1564202047, 1564202047131
189, 1564202047, 1564202047209
189, 1564202047, 1564202047287
189, 1564202047, 1564202047365
189, 1564202047, 1564202047442
189, 1564202047, 1564202047521
189, 1564202047, 1564202047596
189, 1564202047, 1564202047673
189, 1564202047, 1564202047752
189, 1564202048, 1564202047830
189, 1564202048, 1564202047907
189, 1564202048, 1564202047985
189, 1564202048, 1564202048064
189, 1564202048, 1564202048141
189, 1564202048, 1564202048219
189, 1564202048, 1564202048297
189, 1564202048, 1564202048375
189, 1564202048, 1564202048454
189, 1564202048, 1564202048530
189, 1564202048, 1564202048605
189, 1564202048, 1564202048682
167, 1564202048, 1564202048759
167, 1564202049, 1564202048837
167, 1564202049, 1564202048915
167, 1564202049, 1564202048995
167, 1564202049, 1564202049074
167, 1564202049, 1564202049150
167, 1564202049, 1564202049227
167, 1564202049, 1564202049306
