Power(W), TimePDU(S), TimeNODE(mS)
173, 1564209707, 1564209708032
173, 1564209707, 1564209708109
173, 1564209707, 1564209708187
173, 1564209707, 1564209708265
173, 1564209707, 1564209708341
173, 1564209707, 1564209708419
169, 1564209708, 1564209708499
169, 1564209708, 1564209708576
169, 1564209708, 1564209708654
169, 1564209708, 1564209708732
169, 1564209708, 1564209708809
169, 1564209708, 1564209708886
169, 1564209708, 1564209708964
169, 1564209708, 1564209709040
169, 1564209708, 1564209709117
169, 1564209708, 1564209709196
169, 1564209708, 1564209709275
169, 1564209708, 1564209709354
168, 1564209709, 1564209709439
168, 1564209709, 1564209709517
168, 1564209709, 1564209709597
168, 1564209709, 1564209709674
168, 1564209709, 1564209709752
168, 1564209709, 1564209709827
168, 1564209709, 1564209709905
168, 1564209709, 1564209709984
168, 1564209709, 1564209710059
168, 1564209709, 1564209710137
168, 1564209709, 1564209710214
168, 1564209709, 1564209710293
168, 1564209709, 1564209710371
167, 1564209709, 1564209710449
167, 1564209710, 1564209710527
167, 1564209710, 1564209710605
167, 1564209710, 1564209710683
167, 1564209710, 1564209710761
167, 1564209710, 1564209710838
167, 1564209710, 1564209710916
167, 1564209710, 1564209710995
167, 1564209710, 1564209711072
167, 1564209710, 1564209711150
167, 1564209710, 1564209711227
167, 1564209710, 1564209711304
167, 1564209710, 1564209711384
169, 1564209710, 1564209711464
169, 1564209711, 1564209711543
169, 1564209711, 1564209711621
169, 1564209711, 1564209711700
169, 1564209711, 1564209711777
169, 1564209711, 1564209711854
169, 1564209711, 1564209711933
169, 1564209711, 1564209712010
169, 1564209711, 1564209712086
169, 1564209711, 1564209712164
169, 1564209711, 1564209712242
169, 1564209711, 1564209712321
169, 1564209711, 1564209712400
168, 1564209712, 1564209712479
168, 1564209712, 1564209712557
168, 1564209712, 1564209712633
168, 1564209712, 1564209712709
168, 1564209712, 1564209712787
168, 1564209712, 1564209712865
168, 1564209712, 1564209712943
168, 1564209712, 1564209713021
168, 1564209712, 1564209713100
168, 1564209712, 1564209713177
168, 1564209712, 1564209713255
168, 1564209712, 1564209713332
168, 1564209712, 1564209713410
168, 1564209712, 1564209713488
168, 1564209712, 1564209713566
168, 1564209712, 1564209713643
167, 1564209712, 1564209713722
167, 1564209713, 1564209713801
167, 1564209713, 1564209713878
167, 1564209713, 1564209713956
167, 1564209713, 1564209714033
167, 1564209713, 1564209714111
167, 1564209713, 1564209714188
167, 1564209713, 1564209714267
167, 1564209713, 1564209714342
167, 1564209713, 1564209714420
167, 1564209714, 1564209714500
167, 1564209714, 1564209714578
167, 1564209714, 1564209714655
167, 1564209714, 1564209714734
167, 1564209714, 1564209714812
167, 1564209714, 1564209714891
167, 1564209714, 1564209714970
167, 1564209714, 1564209715047
167, 1564209714, 1564209715126
167, 1564209714, 1564209715203
167, 1564209714, 1564209715281
167, 1564209714, 1564209715359
167, 1564209714, 1564209715438
167, 1564209715, 1564209715517
167, 1564209715, 1564209715596
167, 1564209715, 1564209715673
167, 1564209715, 1564209715752
167, 1564209715, 1564209715829
167, 1564209715, 1564209715906
167, 1564209715, 1564209715983
167, 1564209715, 1564209716062
167, 1564209715, 1564209716142
167, 1564209715, 1564209716220
167, 1564209715, 1564209716296
167, 1564209715, 1564209716374
167, 1564209715, 1564209716452
167, 1564209716, 1564209716531
167, 1564209716, 1564209716610
167, 1564209716, 1564209716688
167, 1564209716, 1564209716766
167, 1564209716, 1564209716841
167, 1564209716, 1564209716919
167, 1564209716, 1564209716994
167, 1564209716, 1564209717072
167, 1564209716, 1564209717151
167, 1564209716, 1564209717226
167, 1564209716, 1564209717303
167, 1564209716, 1564209717381
168, 1564209716, 1564209717458
168, 1564209717, 1564209717539
168, 1564209717, 1564209717616
168, 1564209717, 1564209717694
168, 1564209717, 1564209717772
168, 1564209717, 1564209717851
168, 1564209717, 1564209717927
168, 1564209717, 1564209718003
168, 1564209717, 1564209718081
168, 1564209717, 1564209718158
168, 1564209717, 1564209718237
168, 1564209717, 1564209718314
168, 1564209717, 1564209718394
166, 1564209717, 1564209718469
166, 1564209718, 1564209718547
166, 1564209718, 1564209718625
166, 1564209718, 1564209718705
166, 1564209718, 1564209718783
166, 1564209718, 1564209718860
166, 1564209718, 1564209718935
166, 1564209718, 1564209719013
166, 1564209718, 1564209719091
166, 1564209718, 1564209719170
166, 1564209718, 1564209719247
166, 1564209718, 1564209719323
166, 1564209718, 1564209719401
166, 1564209718, 1564209719479
166, 1564209719, 1564209719557
166, 1564209719, 1564209719636
166, 1564209719, 1564209719714
166, 1564209719, 1564209719793
166, 1564209719, 1564209719872
166, 1564209719, 1564209719951
166, 1564209719, 1564209720062
166, 1564209719, 1564209720168
166, 1564209719, 1564209720251
166, 1564209719, 1564209720326
166, 1564209719, 1564209720396
166, 1564209719, 1564209720469
172, 1564209720, 1564209720547
172, 1564209720, 1564209720624
172, 1564209720, 1564209720702
172, 1564209720, 1564209720778
172, 1564209720, 1564209720854
172, 1564209720, 1564209720933
172, 1564209720, 1564209721010
172, 1564209720, 1564209721088
172, 1564209720, 1564209721164
172, 1564209720, 1564209721242
172, 1564209720, 1564209721318
172, 1564209720, 1564209721397
169, 1564209720, 1564209721475
169, 1564209721, 1564209721554
169, 1564209721, 1564209721632
169, 1564209721, 1564209721708
169, 1564209721, 1564209721786
169, 1564209721, 1564209721865
169, 1564209721, 1564209721943
169, 1564209721, 1564209722020
169, 1564209721, 1564209722097
