Power(W), TimePDU(S), TimeNODE(mS)
167, 1564154031, 1564154032625
167, 1564154031, 1564154032703
175, 1564154032, 1564154032781
175, 1564154032, 1564154032858
175, 1564154032, 1564154032937
175, 1564154032, 1564154033015
175, 1564154032, 1564154033094
175, 1564154032, 1564154033170
175, 1564154032, 1564154033247
175, 1564154032, 1564154033324
175, 1564154032, 1564154033401
175, 1564154032, 1564154033478
175, 1564154032, 1564154033555
175, 1564154032, 1564154033634
175, 1564154032, 1564154033713
214, 1564154032, 1564154033791
214, 1564154034, 1564154033868
214, 1564154034, 1564154033947
214, 1564154034, 1564154034025
214, 1564154034, 1564154034104
214, 1564154034, 1564154034183
214, 1564154034, 1564154034259
214, 1564154034, 1564154034337
214, 1564154034, 1564154034414
214, 1564154034, 1564154034493
214, 1564154034, 1564154034574
214, 1564154034, 1564154034653
206, 1564154034, 1564154034731
206, 1564154034, 1564154034810
206, 1564154034, 1564154034887
206, 1564154034, 1564154034965
206, 1564154034, 1564154035041
206, 1564154034, 1564154035119
206, 1564154034, 1564154035197
206, 1564154034, 1564154035275
206, 1564154034, 1564154035353
206, 1564154034, 1564154035431
206, 1564154034, 1564154035506
206, 1564154034, 1564154035584
206, 1564154034, 1564154035662
206, 1564154034, 1564154035741
203, 1564154035, 1564154035822
203, 1564154035, 1564154035898
203, 1564154035, 1564154035977
203, 1564154035, 1564154036054
203, 1564154035, 1564154036132
203, 1564154035, 1564154036211
203, 1564154035, 1564154036289
203, 1564154035, 1564154036367
203, 1564154035, 1564154036445
203, 1564154035, 1564154036524
203, 1564154035, 1564154036600
203, 1564154035, 1564154036678
203, 1564154035, 1564154036755
203, 1564154036, 1564154036834
203, 1564154036, 1564154036913
203, 1564154036, 1564154036990
203, 1564154036, 1564154037068
203, 1564154036, 1564154037145
203, 1564154036, 1564154037224
203, 1564154036, 1564154037302
203, 1564154036, 1564154037379
203, 1564154036, 1564154037457
203, 1564154036, 1564154037534
203, 1564154036, 1564154037613
203, 1564154036, 1564154037694
211, 1564154036, 1564154037771
211, 1564154038, 1564154037850
211, 1564154038, 1564154037928
211, 1564154038, 1564154038005
211, 1564154038, 1564154038084
211, 1564154038, 1564154038164
211, 1564154038, 1564154038241
211, 1564154038, 1564154038317
211, 1564154038, 1564154038394
211, 1564154038, 1564154038473
211, 1564154038, 1564154038548
211, 1564154038, 1564154038626
211, 1564154038, 1564154038705
211, 1564154038, 1564154038783
170, 1564154039, 1564154038863
170, 1564154039, 1564154038940
170, 1564154039, 1564154039018
170, 1564154039, 1564154039096
170, 1564154039, 1564154039174
170, 1564154039, 1564154039253
170, 1564154039, 1564154039330
170, 1564154039, 1564154039406
170, 1564154039, 1564154039483
170, 1564154039, 1564154039561
170, 1564154039, 1564154039637
170, 1564154039, 1564154039717
207, 1564154039, 1564154039797
207, 1564154039, 1564154039874
207, 1564154039, 1564154039953
207, 1564154039, 1564154040065
207, 1564154039, 1564154040200
207, 1564154039, 1564154040281
207, 1564154039, 1564154040354
207, 1564154039, 1564154040429
207, 1564154039, 1564154040504
207, 1564154039, 1564154040581
207, 1564154039, 1564154040657
207, 1564154039, 1564154040730
253, 1564154040, 1564154040808
253, 1564154040, 1564154040885
253, 1564154040, 1564154040963
253, 1564154040, 1564154041042
253, 1564154040, 1564154041120
253, 1564154040, 1564154041197
253, 1564154040, 1564154041274
253, 1564154040, 1564154041353
253, 1564154040, 1564154041429
253, 1564154040, 1564154041507
253, 1564154040, 1564154041585
253, 1564154040, 1564154041663
230, 1564154040, 1564154041741
230, 1564154041, 1564154041820
230, 1564154041, 1564154041898
230, 1564154041, 1564154041976
230, 1564154041, 1564154042052
230, 1564154041, 1564154042129
230, 1564154041, 1564154042207
230, 1564154041, 1564154042284
230, 1564154041, 1564154042362
230, 1564154041, 1564154042441
230, 1564154041, 1564154042517
230, 1564154041, 1564154042596
230, 1564154041, 1564154042676
194, 1564154042, 1564154042757
194, 1564154042, 1564154042836
194, 1564154042, 1564154042913
194, 1564154042, 1564154042992
194, 1564154042, 1564154043069
194, 1564154042, 1564154043146
194, 1564154042, 1564154043226
194, 1564154042, 1564154043305
194, 1564154042, 1564154043382
194, 1564154042, 1564154043461
194, 1564154042, 1564154043537
194, 1564154042, 1564154043615
194, 1564154042, 1564154043695
194, 1564154042, 1564154043772
194, 1564154044, 1564154043850
194, 1564154044, 1564154043928
194, 1564154044, 1564154044006
194, 1564154044, 1564154044086
194, 1564154044, 1564154044165
194, 1564154044, 1564154044244
194, 1564154044, 1564154044323
194, 1564154044, 1564154044402
194, 1564154044, 1564154044480
194, 1564154044, 1564154044558
194, 1564154044, 1564154044636
