Power(W), TimePDU(S), TimeNODE(mS)
167, 1564387504, 1564387504681
167, 1564387504, 1564387505170
165, 1564387504, 1564387505248
165, 1564387505, 1564387505327
165, 1564387505, 1564387505406
165, 1564387505, 1564387505485
165, 1564387505, 1564387505564
165, 1564387505, 1564387505643
165, 1564387505, 1564387505723
165, 1564387505, 1564387505801
165, 1564387505, 1564387505878
165, 1564387505, 1564387505957
165, 1564387505, 1564387506034
165, 1564387505, 1564387506113
165, 1564387505, 1564387506191
165, 1564387505, 1564387506269
165, 1564387506, 1564387506347
165, 1564387506, 1564387506427
165, 1564387506, 1564387506505
165, 1564387506, 1564387506583
165, 1564387506, 1564387506662
165, 1564387506, 1564387506739
165, 1564387506, 1564387506816
165, 1564387506, 1564387506895
165, 1564387506, 1564387506973
165, 1564387506, 1564387507050
165, 1564387506, 1564387507129
165, 1564387506, 1564387507207
165, 1564387506, 1564387507285
165, 1564387507, 1564387507365
165, 1564387507, 1564387507444
165, 1564387507, 1564387507522
165, 1564387507, 1564387507600
165, 1564387507, 1564387507676
165, 1564387507, 1564387507756
165, 1564387507, 1564387507834
165, 1564387507, 1564387507914
165, 1564387507, 1564387507991
165, 1564387507, 1564387508069
165, 1564387507, 1564387508146
165, 1564387507, 1564387508225
166, 1564387508, 1564387508304
166, 1564387508, 1564387508384
166, 1564387508, 1564387508462
166, 1564387508, 1564387508539
166, 1564387508, 1564387508615
166, 1564387508, 1564387508691
166, 1564387508, 1564387508769
166, 1564387508, 1564387508848
166, 1564387508, 1564387508926
166, 1564387508, 1564387509005
166, 1564387508, 1564387509083
166, 1564387508, 1564387509161
166, 1564387508, 1564387509240
165, 1564387508, 1564387509319
165, 1564387509, 1564387509399
165, 1564387509, 1564387509476
165, 1564387509, 1564387509554
165, 1564387509, 1564387509634
165, 1564387509, 1564387509711
165, 1564387509, 1564387509788
165, 1564387509, 1564387509866
165, 1564387509, 1564387509945
165, 1564387509, 1564387510024
165, 1564387509, 1564387510104
165, 1564387509, 1564387510184
166, 1564387509, 1564387510260
166, 1564387510, 1564387510340
166, 1564387510, 1564387510418
166, 1564387510, 1564387510497
166, 1564387510, 1564387510576
166, 1564387510, 1564387510654
166, 1564387510, 1564387510733
166, 1564387510, 1564387510812
166, 1564387510, 1564387510891
166, 1564387510, 1564387510967
166, 1564387510, 1564387511047
166, 1564387510, 1564387511126
166, 1564387510, 1564387511205
166, 1564387510, 1564387511284
166, 1564387511, 1564387511364
166, 1564387511, 1564387511440
166, 1564387511, 1564387511517
166, 1564387511, 1564387511595
166, 1564387511, 1564387511674
166, 1564387511, 1564387511752
166, 1564387511, 1564387511830
166, 1564387511, 1564387511909
166, 1564387511, 1564387511985
166, 1564387511, 1564387512063
166, 1564387511, 1564387512142
166, 1564387511, 1564387512219
168, 1564387512, 1564387512298
168, 1564387512, 1564387512376
168, 1564387512, 1564387512456
168, 1564387512, 1564387512534
168, 1564387512, 1564387512613
168, 1564387512, 1564387512691
168, 1564387512, 1564387512769
168, 1564387512, 1564387512845
168, 1564387512, 1564387512923
168, 1564387512, 1564387513002
168, 1564387512, 1564387513081
168, 1564387512, 1564387513156
168, 1564387512, 1564387513235
166, 1564387512, 1564387513313
