Power(W), TimePDU(S), TimeNODE(mS)
179, 1564220443, 1564220442904
179, 1564220443, 1564220442981
168, 1564220444, 1564220443063
168, 1564220444, 1564220443139
168, 1564220444, 1564220443215
168, 1564220444, 1564220443293
168, 1564220444, 1564220443370
168, 1564220444, 1564220443447
168, 1564220444, 1564220443524
168, 1564220444, 1564220443601
168, 1564220444, 1564220443678
168, 1564220444, 1564220443754
168, 1564220444, 1564220443832
168, 1564220444, 1564220443911
168, 1564220444, 1564220443988
166, 1564220445, 1564220444065
166, 1564220445, 1564220444142
166, 1564220445, 1564220444219
166, 1564220445, 1564220444295
166, 1564220445, 1564220444373
166, 1564220445, 1564220444449
166, 1564220445, 1564220444525
166, 1564220445, 1564220444601
166, 1564220454, 1564220453688
166, 1564220454, 1564220453765
166, 1564220454, 1564220453841
166, 1564220454, 1564220453919
168, 1564220454, 1564220453997
168, 1564220455, 1564220454074
168, 1564220455, 1564220454154
168, 1564220455, 1564220454228
168, 1564220455, 1564220454302
168, 1564220455, 1564220454380
168, 1564220455, 1564220454455
168, 1564220455, 1564220454531
168, 1564220455, 1564220454610
168, 1564220455, 1564220454686
168, 1564220455, 1564220454764
168, 1564220455, 1564220454844
168, 1564220455, 1564220454922
166, 1564220455, 1564220455000
166, 1564220456, 1564220455079
166, 1564220456, 1564220455157
166, 1564220456, 1564220455235
166, 1564220456, 1564220455311
166, 1564220456, 1564220455385
166, 1564220456, 1564220455461
166, 1564220456, 1564220455537
166, 1564220456, 1564220455616
166, 1564220456, 1564220455695
166, 1564220456, 1564220455771
166, 1564220456, 1564220455847
166, 1564220456, 1564220455926
167, 1564220457, 1564220456005
167, 1564220457, 1564220456080
167, 1564220457, 1564220456155
167, 1564220457, 1564220456230
167, 1564220457, 1564220456305
167, 1564220457, 1564220456382
167, 1564220457, 1564220456459
167, 1564220457, 1564220456770
167, 1564220457, 1564220456846
167, 1564220457, 1564220456925
166, 1564220457, 1564220457004
166, 1564220458, 1564220457083
166, 1564220458, 1564220457161
166, 1564220458, 1564220457237
166, 1564220458, 1564220457316
166, 1564220458, 1564220457393
166, 1564220458, 1564220457470
166, 1564220458, 1564220457547
166, 1564220458, 1564220457625
166, 1564220458, 1564220457704
166, 1564220458, 1564220457781
166, 1564220458, 1564220457859
166, 1564220458, 1564220457936
167, 1564220459, 1564220458018
167, 1564220459, 1564220458094
167, 1564220459, 1564220458174
167, 1564220459, 1564220458250
167, 1564220459, 1564220458327
167, 1564220459, 1564220458405
167, 1564220459, 1564220458481
167, 1564220459, 1564220458560
167, 1564220459, 1564220458636
167, 1564220459, 1564220458714
167, 1564220459, 1564220458794
167, 1564220459, 1564220458871
167, 1564220459, 1564220458948
166, 1564220459, 1564220459027
166, 1564220460, 1564220459106
166, 1564220460, 1564220459183
166, 1564220460, 1564220459262
166, 1564220460, 1564220459339
166, 1564220460, 1564220459416
166, 1564220460, 1564220459492
166, 1564220460, 1564220459569
166, 1564220460, 1564220459647
166, 1564220460, 1564220459726
166, 1564220460, 1564220459804
166, 1564220460, 1564220459881
166, 1564220460, 1564220459962
167, 1564220460, 1564220460039
167, 1564220461, 1564220460118
167, 1564220461, 1564220460197
167, 1564220461, 1564220460276
167, 1564220461, 1564220460355
167, 1564220461, 1564220460434
167, 1564220461, 1564220460512
167, 1564220461, 1564220460590
167, 1564220461, 1564220460666
167, 1564220461, 1564220460745
167, 1564220461, 1564220460822
167, 1564220461, 1564220460900
167, 1564220461, 1564220460977
167, 1564220462, 1564220461056
167, 1564220462, 1564220461134
167, 1564220462, 1564220461213
167, 1564220462, 1564220461290
167, 1564220462, 1564220461368
167, 1564220462, 1564220461445
167, 1564220462, 1564220461522
167, 1564220462, 1564220461599
167, 1564220462, 1564220461677
167, 1564220462, 1564220461755
167, 1564220462, 1564220461834
167, 1564220462, 1564220461913
167, 1564220462, 1564220461990
168, 1564220462, 1564220462067
168, 1564220463, 1564220462146
168, 1564220463, 1564220462221
168, 1564220463, 1564220462300
168, 1564220463, 1564220462377
168, 1564220463, 1564220462456
168, 1564220463, 1564220462532
168, 1564220463, 1564220462610
168, 1564220463, 1564220462685
168, 1564220463, 1564220462763
168, 1564220463, 1564220462841
168, 1564220463, 1564220462919
166, 1564220463, 1564220462997
166, 1564220464, 1564220463078
166, 1564220464, 1564220463156
166, 1564220464, 1564220463233
166, 1564220464, 1564220463312
166, 1564220464, 1564220463387
166, 1564220464, 1564220463466
166, 1564220464, 1564220463544
166, 1564220464, 1564220463625
166, 1564220464, 1564220463705
166, 1564220464, 1564220463781
166, 1564220464, 1564220463860
166, 1564220464, 1564220463938
166, 1564220464, 1564220464014
168, 1564220465, 1564220464096
168, 1564220465, 1564220464174
168, 1564220465, 1564220464249
168, 1564220465, 1564220464327
168, 1564220465, 1564220464404
168, 1564220465, 1564220464479
168, 1564220465, 1564220464556
168, 1564220465, 1564220464634
168, 1564220465, 1564220464712
168, 1564220465, 1564220464789
168, 1564220465, 1564220464867
168, 1564220465, 1564220464945
166, 1564220465, 1564220465023
166, 1564220466, 1564220465104
166, 1564220466, 1564220465183
166, 1564220466, 1564220465261
166, 1564220466, 1564220465340
166, 1564220466, 1564220465417
166, 1564220466, 1564220465495
166, 1564220466, 1564220465569
166, 1564220466, 1564220465647
166, 1564220466, 1564220465726
166, 1564220466, 1564220465804
166, 1564220466, 1564220465883
166, 1564220466, 1564220465961
167, 1564220466, 1564220466040
167, 1564220467, 1564220466118
167, 1564220467, 1564220466196
167, 1564220467, 1564220466272
167, 1564220467, 1564220466350
167, 1564220467, 1564220466428
167, 1564220467, 1564220466505
167, 1564220467, 1564220466583
167, 1564220467, 1564220466662
167, 1564220467, 1564220466740
167, 1564220467, 1564220466817
167, 1564220467, 1564220466895
167, 1564220467, 1564220466976
166, 1564220468, 1564220467055
166, 1564220468, 1564220467134
166, 1564220468, 1564220467213
166, 1564220468, 1564220467289
166, 1564220468, 1564220467367
166, 1564220468, 1564220467445
166, 1564220468, 1564220467523
166, 1564220468, 1564220467599
166, 1564220468, 1564220467676
166, 1564220468, 1564220467754
166, 1564220468, 1564220467831
166, 1564220468, 1564220467909
166, 1564220468, 1564220467986
168, 1564220468, 1564220468066
168, 1564220469, 1564220468145
168, 1564220469, 1564220468224
168, 1564220469, 1564220468303
168, 1564220469, 1564220468379
168, 1564220469, 1564220468457
168, 1564220469, 1564220468535
168, 1564220469, 1564220468613
168, 1564220469, 1564220468693
168, 1564220469, 1564220468768
168, 1564220469, 1564220468846
168, 1564220469, 1564220468925
166, 1564220469, 1564220469003
166, 1564220470, 1564220469081
166, 1564220470, 1564220469157
166, 1564220470, 1564220469234
166, 1564220470, 1564220469313
166, 1564220470, 1564220469390
166, 1564220470, 1564220469466
166, 1564220470, 1564220469545
166, 1564220470, 1564220469622
166, 1564220470, 1564220469700
166, 1564220470, 1564220469778
