Power(W), TimePDU(S), TimeNODE(mS)
167, 1564220504, 1564220503540
167, 1564220504, 1564220503617
167, 1564220504, 1564220503694
167, 1564220504, 1564220503773
167, 1564220504, 1564220503849
167, 1564220504, 1564220503927
167, 1564220504, 1564220504003
167, 1564220504, 1564220504081
194, 1564220505, 1564220504161
194, 1564220505, 1564220504237
194, 1564220505, 1564220504314
194, 1564220505, 1564220504391
194, 1564220505, 1564220504469
194, 1564220505, 1564220504545
194, 1564220505, 1564220504621
194, 1564220505, 1564220504697
194, 1564220505, 1564220504773
194, 1564220505, 1564220504850
194, 1564220505, 1564220504927
194, 1564220505, 1564220505005
219, 1564220505, 1564220505086
219, 1564220506, 1564220505166
219, 1564220506, 1564220505245
219, 1564220506, 1564220505324
219, 1564220506, 1564220505403
219, 1564220506, 1564220505481
219, 1564220506, 1564220505560
219, 1564220506, 1564220505637
219, 1564220506, 1564220505715
219, 1564220506, 1564220505795
219, 1564220506, 1564220505874
219, 1564220506, 1564220505954
219, 1564220506, 1564220506033
196, 1564220506, 1564220506112
196, 1564220507, 1564220506190
196, 1564220507, 1564220506268
196, 1564220507, 1564220506344
196, 1564220507, 1564220506420
196, 1564220507, 1564220506498
196, 1564220507, 1564220506574
196, 1564220507, 1564220506653
196, 1564220507, 1564220506731
196, 1564220507, 1564220506807
196, 1564220507, 1564220506884
196, 1564220507, 1564220506962
196, 1564220507, 1564220507041
190, 1564220508, 1564220507120
190, 1564220508, 1564220507198
190, 1564220508, 1564220507275
190, 1564220508, 1564220507353
190, 1564220508, 1564220507432
190, 1564220508, 1564220507510
190, 1564220508, 1564220507589
190, 1564220508, 1564220507666
190, 1564220508, 1564220507743
190, 1564220508, 1564220507820
190, 1564220508, 1564220507897
190, 1564220508, 1564220507975
190, 1564220508, 1564220508054
201, 1564220508, 1564220508134
201, 1564220509, 1564220508213
201, 1564220509, 1564220508290
201, 1564220509, 1564220508365
201, 1564220509, 1564220508442
201, 1564220509, 1564220508522
201, 1564220509, 1564220508600
201, 1564220509, 1564220508675
201, 1564220509, 1564220508754
201, 1564220509, 1564220508831
201, 1564220509, 1564220508907
201, 1564220509, 1564220508986
201, 1564220509, 1564220509065
201, 1564220509, 1564220509144
201, 1564220510, 1564220509223
201, 1564220510, 1564220509300
201, 1564220510, 1564220509377
201, 1564220510, 1564220509454
201, 1564220510, 1564220509533
201, 1564220510, 1564220509611
201, 1564220510, 1564220509687
201, 1564220510, 1564220509765
201, 1564220510, 1564220509842
201, 1564220510, 1564220509921
201, 1564220510, 1564220509998
201, 1564220510, 1564220510077
172, 1564220511, 1564220510155
172, 1564220511, 1564220510233
172, 1564220511, 1564220510311
172, 1564220511, 1564220510390
172, 1564220511, 1564220510465
172, 1564220511, 1564220510543
172, 1564220511, 1564220510619
172, 1564220511, 1564220510697
172, 1564220511, 1564220510776
172, 1564220511, 1564220510854
172, 1564220511, 1564220510933
172, 1564220511, 1564220511012
172, 1564220511, 1564220511088
195, 1564220511, 1564220511167
195, 1564220512, 1564220511246
195, 1564220512, 1564220511325
195, 1564220512, 1564220511402
195, 1564220512, 1564220511480
195, 1564220512, 1564220511559
195, 1564220512, 1564220511637
195, 1564220512, 1564220511714
195, 1564220512, 1564220511792
195, 1564220512, 1564220511871
195, 1564220512, 1564220511949
195, 1564220512, 1564220512027
242, 1564220512, 1564220512104
242, 1564220513, 1564220512184
242, 1564220513, 1564220512262
242, 1564220513, 1564220512342
242, 1564220513, 1564220512419
242, 1564220513, 1564220512497
242, 1564220513, 1564220512575
242, 1564220513, 1564220512650
242, 1564220513, 1564220512728
242, 1564220513, 1564220512804
242, 1564220513, 1564220512880
242, 1564220513, 1564220512958
242, 1564220513, 1564220513035
242, 1564220513, 1564220513115
231, 1564220514, 1564220513197
231, 1564220514, 1564220513275
231, 1564220514, 1564220513351
231, 1564220514, 1564220513429
231, 1564220514, 1564220513507
231, 1564220514, 1564220513584
231, 1564220514, 1564220513663
231, 1564220514, 1564220513739
231, 1564220514, 1564220513817
231, 1564220514, 1564220513892
231, 1564220514, 1564220513964
231, 1564220514, 1564220514037
231, 1564220514, 1564220514111
191, 1564220515, 1564220514191
191, 1564220515, 1564220514270
191, 1564220515, 1564220514347
191, 1564220515, 1564220514425
191, 1564220515, 1564220514502
191, 1564220515, 1564220514581
191, 1564220515, 1564220514659
191, 1564220515, 1564220514737
191, 1564220515, 1564220514815
191, 1564220515, 1564220514891
191, 1564220515, 1564220514968
191, 1564220515, 1564220515045
191, 1564220515, 1564220515122
190, 1564220516, 1564220515199
190, 1564220516, 1564220515275
190, 1564220516, 1564220515353
190, 1564220516, 1564220515431
190, 1564220516, 1564220515510
190, 1564220516, 1564220515587
190, 1564220516, 1564220515665
190, 1564220516, 1564220515743
190, 1564220516, 1564220515822
190, 1564220516, 1564220515897
190, 1564220516, 1564220515971
190, 1564220516, 1564220516048
188, 1564220516, 1564220516125
188, 1564220517, 1564220516204
188, 1564220517, 1564220516283
188, 1564220517, 1564220516362
188, 1564220517, 1564220516440
188, 1564220517, 1564220516519
188, 1564220517, 1564220516597
188, 1564220517, 1564220516675
188, 1564220517, 1564220516754
188, 1564220517, 1564220516833
188, 1564220517, 1564220516910
188, 1564220517, 1564220516987
188, 1564220517, 1564220517065
190, 1564220517, 1564220517144
190, 1564220518, 1564220517223
190, 1564220518, 1564220517301
190, 1564220518, 1564220517380
190, 1564220518, 1564220517457
190, 1564220518, 1564220517535
190, 1564220518, 1564220517614
190, 1564220518, 1564220517692
190, 1564220518, 1564220517770
190, 1564220518, 1564220517847
190, 1564220518, 1564220517925
190, 1564220518, 1564220518002
190, 1564220518, 1564220518082
200, 1564220519, 1564220518161
200, 1564220519, 1564220518240
200, 1564220519, 1564220518315
200, 1564220519, 1564220518394
200, 1564220519, 1564220518472
200, 1564220519, 1564220518549
200, 1564220519, 1564220518626
200, 1564220519, 1564220518706
200, 1564220519, 1564220518785
200, 1564220519, 1564220518863
200, 1564220519, 1564220518943
200, 1564220519, 1564220519020
200, 1564220519, 1564220519098
176, 1564220519, 1564220519174
176, 1564220520, 1564220519253
176, 1564220520, 1564220519330
176, 1564220520, 1564220519407
176, 1564220520, 1564220519485
176, 1564220520, 1564220519564
176, 1564220520, 1564220519645
176, 1564220520, 1564220519722
176, 1564220520, 1564220519800
176, 1564220520, 1564220519877
176, 1564220520, 1564220519955
176, 1564220520, 1564220520063
171, 1564220521, 1564220520165
171, 1564220521, 1564220520253
171, 1564220521, 1564220520324
171, 1564220521, 1564220520396
171, 1564220521, 1564220520471
171, 1564220521, 1564220520549
171, 1564220521, 1564220520625
171, 1564220521, 1564220520704
171, 1564220521, 1564220520783
171, 1564220521, 1564220520861
171, 1564220521, 1564220520940
171, 1564220521, 1564220521017
171, 1564220521, 1564220521094
172, 1564220521, 1564220521171
172, 1564220522, 1564220521249
172, 1564220522, 1564220521326
172, 1564220522, 1564220521404
