Power(W), TimePDU(S), TimeNODE(mS)
179, 1564200584, 1564200585861
179, 1564200584, 1564200585942
169, 1564200585, 1564200586025
169, 1564200585, 1564200586101
169, 1564200585, 1564200586179
169, 1564200585, 1564200586257
169, 1564200585, 1564200586335
169, 1564200585, 1564200586414
169, 1564200585, 1564200586490
169, 1564200585, 1564200586566
169, 1564200585, 1564200586644
169, 1564200585, 1564200586722
169, 1564200585, 1564200586799
169, 1564200585, 1564200586877
166, 1564200585, 1564200586954
166, 1564200586, 1564200587033
166, 1564200586, 1564200587111
166, 1564200586, 1564200587187
166, 1564200586, 1564200587267
166, 1564200586, 1564200587345
166, 1564200586, 1564200587424
166, 1564200586, 1564200587502
166, 1564200586, 1564200587579
166, 1564200586, 1564200587656
166, 1564200586, 1564200587734
166, 1564200586, 1564200587814
166, 1564200586, 1564200587892
168, 1564200586, 1564200587970
168, 1564200587, 1564200588047
168, 1564200587, 1564200588125
168, 1564200587, 1564200588205
168, 1564200587, 1564200588283
168, 1564200587, 1564200588359
168, 1564200587, 1564200588436
168, 1564200587, 1564200588516
168, 1564200587, 1564200588594
168, 1564200587, 1564200588674
168, 1564200587, 1564200588754
168, 1564200587, 1564200588833
168, 1564200587, 1564200588910
167, 1564200588, 1564200588989
167, 1564200588, 1564200589066
167, 1564200588, 1564200589146
167, 1564200588, 1564200589226
167, 1564200588, 1564200589304
167, 1564200588, 1564200589384
167, 1564200588, 1564200589461
167, 1564200588, 1564200589538
167, 1564200588, 1564200589616
167, 1564200588, 1564200589694
167, 1564200588, 1564200589771
167, 1564200588, 1564200589849
167, 1564200588, 1564200589927
167, 1564200588, 1564200590003
167, 1564200589, 1564200590081
167, 1564200589, 1564200590158
167, 1564200589, 1564200590236
167, 1564200589, 1564200590315
167, 1564200589, 1564200590392
167, 1564200589, 1564200590469
167, 1564200589, 1564200590546
167, 1564200589, 1564200590624
167, 1564200589, 1564200590703
167, 1564200589, 1564200590781
167, 1564200589, 1564200590858
167, 1564200589, 1564200590936
167, 1564200589, 1564200591015
167, 1564200589, 1564200591093
167, 1564200589, 1564200591170
167, 1564200589, 1564200591247
167, 1564200591, 1564200591325
167, 1564200591, 1564200591403
167, 1564200591, 1564200591481
167, 1564200591, 1564200591557
167, 1564200591, 1564200591635
167, 1564200591, 1564200591713
167, 1564200591, 1564200591790
167, 1564200591, 1564200591865
167, 1564200591, 1564200591943
167, 1564200591, 1564200592021
167, 1564200591, 1564200592098
167, 1564200591, 1564200592174
167, 1564200591, 1564200592253
167, 1564200591, 1564200592332
167, 1564200591, 1564200592410
167, 1564200591, 1564200592486
167, 1564200591, 1564200592565
167, 1564200591, 1564200592643
167, 1564200591, 1564200592721
167, 1564200591, 1564200592799
167, 1564200591, 1564200592877
166, 1564200591, 1564200592954
166, 1564200592, 1564200593032
166, 1564200592, 1564200593111
166, 1564200592, 1564200593188
166, 1564200592, 1564200593267
166, 1564200592, 1564200593345
166, 1564200592, 1564200593424
166, 1564200592, 1564200593503
166, 1564200592, 1564200593582
166, 1564200592, 1564200593661
166, 1564200592, 1564200593739
166, 1564200592, 1564200593817
166, 1564200592, 1564200593894
166, 1564200592, 1564200593973
166, 1564200593, 1564200594052
166, 1564200593, 1564200594130
