Power(W), TimePDU(S), TimeNODE(mS)
167, 1564141374, 1564141374137
167, 1564141374, 1564141374217
167, 1564141374, 1564141374295
167, 1564141374, 1564141374374
167, 1564141374, 1564141374452
186, 1564141374, 1564141374530
186, 1564141375, 1564141374608
186, 1564141375, 1564141374684
186, 1564141375, 1564141374764
186, 1564141375, 1564141374843
186, 1564141375, 1564141374924
186, 1564141375, 1564141375000
186, 1564141375, 1564141375079
186, 1564141375, 1564141375156
186, 1564141375, 1564141375235
186, 1564141375, 1564141375312
186, 1564141375, 1564141375391
186, 1564141375, 1564141375467
186, 1564141375, 1564141375545
214, 1564141376, 1564141375627
214, 1564141376, 1564141375706
214, 1564141376, 1564141375783
214, 1564141376, 1564141375861
214, 1564141376, 1564141375938
214, 1564141376, 1564141376018
214, 1564141376, 1564141376096
214, 1564141376, 1564141376174
214, 1564141376, 1564141376253
214, 1564141376, 1564141376331
214, 1564141376, 1564141376409
214, 1564141376, 1564141376485
202, 1564141376, 1564141376563
202, 1564141377, 1564141376643
202, 1564141377, 1564141376721
202, 1564141377, 1564141376797
202, 1564141377, 1564141376875
202, 1564141377, 1564141376954
202, 1564141377, 1564141377032
202, 1564141377, 1564141377110
202, 1564141377, 1564141377186
202, 1564141377, 1564141377265
202, 1564141377, 1564141377343
202, 1564141377, 1564141377420
202, 1564141377, 1564141377496
191, 1564141377, 1564141377574
191, 1564141378, 1564141377651
191, 1564141378, 1564141377727
191, 1564141378, 1564141377806
191, 1564141378, 1564141377883
191, 1564141378, 1564141377962
191, 1564141378, 1564141378039
191, 1564141378, 1564141378118
191, 1564141378, 1564141378193
191, 1564141378, 1564141378271
191, 1564141378, 1564141378350
191, 1564141378, 1564141378427
191, 1564141378, 1564141378504
207, 1564141379, 1564141378586
207, 1564141379, 1564141378665
207, 1564141379, 1564141378742
207, 1564141379, 1564141378818
207, 1564141379, 1564141378898
207, 1564141379, 1564141378975
207, 1564141379, 1564141379053
207, 1564141379, 1564141379130
207, 1564141379, 1564141379207
207, 1564141379, 1564141379285
207, 1564141379, 1564141379364
207, 1564141379, 1564141379443
207, 1564141379, 1564141379521
211, 1564141379, 1564141379599
211, 1564141380, 1564141379676
211, 1564141380, 1564141379754
211, 1564141380, 1564141379830
211, 1564141380, 1564141379908
211, 1564141380, 1564141379985
211, 1564141380, 1564141380063
211, 1564141380, 1564141380140
211, 1564141380, 1564141380215
211, 1564141380, 1564141380294
211, 1564141380, 1564141380373
211, 1564141380, 1564141380451
211, 1564141380, 1564141380530
211, 1564141380, 1564141380607
176, 1564141381, 1564141380686
176, 1564141381, 1564141380765
176, 1564141381, 1564141380842
176, 1564141381, 1564141380920
176, 1564141381, 1564141380997
176, 1564141381, 1564141381075
176, 1564141381, 1564141381153
176, 1564141381, 1564141381233
176, 1564141381, 1564141381312
176, 1564141381, 1564141381387
176, 1564141381, 1564141381466
176, 1564141381, 1564141381545
193, 1564141381, 1564141381621
193, 1564141382, 1564141381699
193, 1564141382, 1564141381776
193, 1564141382, 1564141381855
193, 1564141382, 1564141381932
193, 1564141382, 1564141382009
193, 1564141382, 1564141382091
193, 1564141382, 1564141382168
193, 1564141382, 1564141382246
193, 1564141382, 1564141382324
193, 1564141382, 1564141382402
193, 1564141382, 1564141382481
193, 1564141382, 1564141382558
243, 1564141382, 1564141382636
243, 1564141383, 1564141382714
243, 1564141383, 1564141382791
243, 1564141383, 1564141382870
243, 1564141383, 1564141382946
243, 1564141383, 1564141383024
243, 1564141383, 1564141383103
243, 1564141383, 1564141383180
243, 1564141383, 1564141383258
243, 1564141383, 1564141383336
243, 1564141383, 1564141383414
243, 1564141383, 1564141383494
233, 1564141383, 1564141383572
233, 1564141384, 1564141383649
