Power(W), TimePDU(S), TimeNODE(mS)
174, 1564141519, 1564141519436
174, 1564141519, 1564141519512
174, 1564141519, 1564141519589
174, 1564141519, 1564141519668
174, 1564141519, 1564141519747
174, 1564141519, 1564141519826
169, 1564141519, 1564141519904
169, 1564141520, 1564141519982
169, 1564141520, 1564141520061
169, 1564141520, 1564141520140
169, 1564141520, 1564141520219
169, 1564141520, 1564141520296
169, 1564141520, 1564141520375
169, 1564141520, 1564141520453
169, 1564141520, 1564141520530
169, 1564141520, 1564141520608
169, 1564141520, 1564141520686
169, 1564141520, 1564141520762
169, 1564141520, 1564141520841
168, 1564141521, 1564141520921
168, 1564141521, 1564141520998
168, 1564141521, 1564141521075
168, 1564141521, 1564141521153
168, 1564141521, 1564141521231
168, 1564141521, 1564141521311
168, 1564141521, 1564141521388
168, 1564141521, 1564141521466
168, 1564141521, 1564141521545
168, 1564141521, 1564141521624
168, 1564141521, 1564141521701
168, 1564141521, 1564141521778
167, 1564141521, 1564141521855
167, 1564141522, 1564141521934
167, 1564141522, 1564141522013
167, 1564141522, 1564141522088
167, 1564141522, 1564141522166
167, 1564141522, 1564141522244
167, 1564141522, 1564141522322
167, 1564141522, 1564141522401
167, 1564141522, 1564141522477
167, 1564141522, 1564141522556
167, 1564141522, 1564141522633
167, 1564141522, 1564141522710
167, 1564141522, 1564141522787
167, 1564141522, 1564141522865
167, 1564141523, 1564141522944
167, 1564141523, 1564141523022
167, 1564141523, 1564141523100
167, 1564141523, 1564141523179
167, 1564141523, 1564141523256
167, 1564141523, 1564141523334
167, 1564141523, 1564141523413
167, 1564141523, 1564141523491
167, 1564141523, 1564141523567
167, 1564141523, 1564141523645
167, 1564141523, 1564141523725
167, 1564141523, 1564141523802
167, 1564141523, 1564141523881
167, 1564141523, 1564141523959
167, 1564141523, 1564141524037
167, 1564141523, 1564141524116
167, 1564141524, 1564141524196
167, 1564141524, 1564141524274
167, 1564141524, 1564141524350
167, 1564141524, 1564141524428
167, 1564141524, 1564141524508
167, 1564141524, 1564141524586
167, 1564141524, 1564141524662
167, 1564141524, 1564141524740
167, 1564141524, 1564141524817
169, 1564141524, 1564141524895
169, 1564141525, 1564141524974
169, 1564141525, 1564141525051
169, 1564141525, 1564141525128
169, 1564141525, 1564141525206
169, 1564141525, 1564141525284
169, 1564141525, 1564141525361
169, 1564141525, 1564141525439
169, 1564141525, 1564141525517
169, 1564141525, 1564141525595
169, 1564141525, 1564141525674
169, 1564141525, 1564141525750
168, 1564141525, 1564141525828
168, 1564141526, 1564141525907
168, 1564141526, 1564141525986
168, 1564141526, 1564141526066
168, 1564141526, 1564141526145
168, 1564141526, 1564141526224
168, 1564141526, 1564141526304
168, 1564141526, 1564141526382
168, 1564141526, 1564141526460
168, 1564141526, 1564141526538
168, 1564141526, 1564141526616
168, 1564141526, 1564141526695
168, 1564141526, 1564141526772
168, 1564141526, 1564141526849
168, 1564141527, 1564141526928
168, 1564141527, 1564141527007
168, 1564141527, 1564141527084
168, 1564141527, 1564141527163
168, 1564141527, 1564141527242
168, 1564141527, 1564141527322
168, 1564141527, 1564141527400
168, 1564141527, 1564141527477
168, 1564141527, 1564141527554
168, 1564141527, 1564141527632
168, 1564141527, 1564141527712
168, 1564141527, 1564141527789
168, 1564141528, 1564141527868
168, 1564141528, 1564141527946
168, 1564141528, 1564141528024
168, 1564141528, 1564141528103
168, 1564141528, 1564141528180
168, 1564141528, 1564141528258
168, 1564141528, 1564141528336
168, 1564141528, 1564141528414
168, 1564141528, 1564141528493
168, 1564141528, 1564141528568
168, 1564141528, 1564141528647
168, 1564141528, 1564141528723
168, 1564141528, 1564141528802
167, 1564141528, 1564141528880
167, 1564141529, 1564141528958
167, 1564141529, 1564141529036
167, 1564141529, 1564141529114
167, 1564141529, 1564141529193
167, 1564141529, 1564141529270
167, 1564141529, 1564141529348
167, 1564141529, 1564141529426
167, 1564141529, 1564141529504
167, 1564141529, 1564141529583
167, 1564141529, 1564141529661
167, 1564141529, 1564141529738
167, 1564141529, 1564141529815
167, 1564141529, 1564141529893
167, 1564141530, 1564141529971
167, 1564141530, 1564141530050
167, 1564141530, 1564141530128
167, 1564141530, 1564141530206
167, 1564141530, 1564141530285
167, 1564141530, 1564141530364
167, 1564141530, 1564141530442
167, 1564141530, 1564141530521
167, 1564141530, 1564141530599
167, 1564141530, 1564141530675
167, 1564141530, 1564141530752
167, 1564141530, 1564141530830
168, 1564141531, 1564141530909
168, 1564141531, 1564141530987
168, 1564141531, 1564141531064
168, 1564141531, 1564141531142
168, 1564141531, 1564141531220
168, 1564141531, 1564141531299
168, 1564141531, 1564141531377
168, 1564141531, 1564141531453
168, 1564141531, 1564141531532
168, 1564141531, 1564141531611
168, 1564141531, 1564141531687
168, 1564141531, 1564141531765
168, 1564141531, 1564141531844
168, 1564141531, 1564141531923
168, 1564141532, 1564141532002
168, 1564141532, 1564141532080
168, 1564141532, 1564141532157
168, 1564141532, 1564141532235
168, 1564141532, 1564141532313
168, 1564141532, 1564141532392
168, 1564141532, 1564141532469
168, 1564141532, 1564141532547
168, 1564141532, 1564141532625
168, 1564141532, 1564141532703
168, 1564141532, 1564141532782
169, 1564141532, 1564141532859
169, 1564141533, 1564141532938
169, 1564141533, 1564141533011
169, 1564141533, 1564141533083
169, 1564141533, 1564141533157
169, 1564141533, 1564141533235
169, 1564141533, 1564141533312
169, 1564141533, 1564141533390
169, 1564141533, 1564141533467
169, 1564141533, 1564141533543
169, 1564141533, 1564141533620
169, 1564141533, 1564141533696
169, 1564141533, 1564141533773
169, 1564141533, 1564141533852
169, 1564141533, 1564141533929
168, 1564141534, 1564141534007
168, 1564141534, 1564141534084
168, 1564141534, 1564141534162
168, 1564141534, 1564141534239
168, 1564141534, 1564141534317
168, 1564141534, 1564141534393
168, 1564141534, 1564141534469
168, 1564141534, 1564141534547
168, 1564141534, 1564141534624
168, 1564141534, 1564141534702
168, 1564141534, 1564141534778
168, 1564141534, 1564141534854
168, 1564141535, 1564141534934
168, 1564141535, 1564141535012
168, 1564141535, 1564141535088
168, 1564141535, 1564141535165
168, 1564141535, 1564141535242
168, 1564141535, 1564141535320
168, 1564141535, 1564141535396
168, 1564141535, 1564141535473
168, 1564141535, 1564141535549
168, 1564141535, 1564141535626
168, 1564141535, 1564141535703
168, 1564141535, 1564141535779
168, 1564141535, 1564141535856
167, 1564141535, 1564141535932
167, 1564141536, 1564141536009
167, 1564141536, 1564141536085
167, 1564141536, 1564141536161
167, 1564141536, 1564141536236
167, 1564141536, 1564141536313
167, 1564141536, 1564141536391
167, 1564141536, 1564141536467
167, 1564141536, 1564141536544
167, 1564141536, 1564141536621
167, 1564141536, 1564141536699
167, 1564141536, 1564141536776
167, 1564141536, 1564141536854
167, 1564141537, 1564141536934
167, 1564141537, 1564141537011
167, 1564141537, 1564141537090
167, 1564141537, 1564141537167
167, 1564141537, 1564141537244
167, 1564141537, 1564141537323
167, 1564141537, 1564141537401
167, 1564141537, 1564141537478
167, 1564141537, 1564141537557
167, 1564141537, 1564141537631
167, 1564141537, 1564141537702
167, 1564141537, 1564141537777
167, 1564141537, 1564141537855
167, 1564141537, 1564141537933
167, 1564141538, 1564141538010
167, 1564141538, 1564141538086
167, 1564141538, 1564141538162
167, 1564141538, 1564141538239
167, 1564141538, 1564141538316
167, 1564141538, 1564141538396
167, 1564141538, 1564141538475
167, 1564141538, 1564141538553
167, 1564141538, 1564141538634
167, 1564141538, 1564141538713
167, 1564141538, 1564141538790
167, 1564141538, 1564141538868
167, 1564141539, 1564141538947
167, 1564141539, 1564141539025
167, 1564141539, 1564141539104
167, 1564141539, 1564141539183
167, 1564141539, 1564141539262
167, 1564141539, 1564141539340
167, 1564141539, 1564141539417
167, 1564141539, 1564141539496
167, 1564141539, 1564141539574
167, 1564141539, 1564141539653
167, 1564141539, 1564141539729
167, 1564141539, 1564141539807
167, 1564141539, 1564141539885
167, 1564141540, 1564141539964
167, 1564141540, 1564141540043
167, 1564141540, 1564141540121
167, 1564141540, 1564141540197
167, 1564141540, 1564141540275
167, 1564141540, 1564141540354
167, 1564141540, 1564141540431
167, 1564141540, 1564141540510
167, 1564141540, 1564141540587
167, 1564141540, 1564141540666
167, 1564141540, 1564141540744
167, 1564141540, 1564141540824
166, 1564141540, 1564141540905
166, 1564141541, 1564141540984
166, 1564141541, 1564141541062
166, 1564141541, 1564141541141
166, 1564141541, 1564141541219
166, 1564141541, 1564141541297
166, 1564141541, 1564141541375
166, 1564141541, 1564141541454
166, 1564141541, 1564141541531
166, 1564141541, 1564141541608
166, 1564141541, 1564141541686
166, 1564141541, 1564141541764
166, 1564141541, 1564141541844
167, 1564141541, 1564141541923
167, 1564141542, 1564141542002
167, 1564141542, 1564141542079
167, 1564141542, 1564141542156
167, 1564141542, 1564141542233
167, 1564141542, 1564141542310
167, 1564141542, 1564141542387
167, 1564141542, 1564141542465
167, 1564141542, 1564141542543
167, 1564141542, 1564141542620
167, 1564141542, 1564141542697
167, 1564141542, 1564141542775
167, 1564141542, 1564141542854
169, 1564141542, 1564141542933
169, 1564141543, 1564141543012
169, 1564141543, 1564141543090
169, 1564141543, 1564141543166
169, 1564141543, 1564141543246
169, 1564141543, 1564141543324
169, 1564141543, 1564141543399
169, 1564141543, 1564141543477
169, 1564141543, 1564141543555
169, 1564141543, 1564141543635
169, 1564141543, 1564141543713
169, 1564141543, 1564141543790
169, 1564141543, 1564141543868
167, 1564141544, 1564141543946
167, 1564141544, 1564141544023
167, 1564141544, 1564141544101
167, 1564141544, 1564141544177
167, 1564141544, 1564141544256
167, 1564141544, 1564141544333
167, 1564141544, 1564141544411
167, 1564141544, 1564141544487
167, 1564141544, 1564141544565
167, 1564141544, 1564141544643
167, 1564141544, 1564141544719
167, 1564141544, 1564141544798
167, 1564141544, 1564141544875
167, 1564141545, 1564141544955
167, 1564141545, 1564141545033
167, 1564141545, 1564141545111
167, 1564141545, 1564141545187
167, 1564141545, 1564141545267
167, 1564141545, 1564141545345
167, 1564141545, 1564141545423
167, 1564141545, 1564141545500
167, 1564141545, 1564141545579
167, 1564141545, 1564141545656
167, 1564141545, 1564141545735
167, 1564141545, 1564141545814
167, 1564141545, 1564141545889
167, 1564141546, 1564141545967
167, 1564141546, 1564141546045
167, 1564141546, 1564141546124
167, 1564141546, 1564141546202
167, 1564141546, 1564141546280
167, 1564141546, 1564141546359
167, 1564141546, 1564141546435
167, 1564141546, 1564141546514
167, 1564141546, 1564141546591
167, 1564141546, 1564141546669
167, 1564141546, 1564141546746
167, 1564141546, 1564141546823
167, 1564141547, 1564141546903
167, 1564141547, 1564141546980
167, 1564141547, 1564141547057
167, 1564141547, 1564141547135
