Power(W), TimePDU(S), TimeNODE(mS)
172, 1564114444, 1564114444252
172, 1564114444, 1564114444332
172, 1564114444, 1564114444409
172, 1564114444, 1564114444488
172, 1564114444, 1564114444566
172, 1564114444, 1564114444644
172, 1564114444, 1564114444721
172, 1564114444, 1564114444798
172, 1564114444, 1564114444875
172, 1564114444, 1564114444953
172, 1564114444, 1564114445032
172, 1564114444, 1564114445109
170, 1564114444, 1564114445191
170, 1564114445, 1564114445269
170, 1564114445, 1564114445346
170, 1564114445, 1564114445424
170, 1564114445, 1564114445502
170, 1564114445, 1564114445579
170, 1564114445, 1564114445656
170, 1564114445, 1564114445734
170, 1564114445, 1564114445816
170, 1564114445, 1564114445894
170, 1564114445, 1564114445972
170, 1564114445, 1564114446051
170, 1564114445, 1564114446128
168, 1564114445, 1564114446207
168, 1564114446, 1564114446285
168, 1564114446, 1564114446363
168, 1564114446, 1564114446441
168, 1564114446, 1564114446519
168, 1564114446, 1564114446596
168, 1564114446, 1564114446674
168, 1564114446, 1564114446753
168, 1564114446, 1564114446829
168, 1564114446, 1564114446907
168, 1564114446, 1564114446986
168, 1564114446, 1564114447063
168, 1564114446, 1564114447141
170, 1564114447, 1564114447219
170, 1564114447, 1564114447296
170, 1564114447, 1564114447373
170, 1564114447, 1564114447450
170, 1564114447, 1564114447529
170, 1564114447, 1564114447606
170, 1564114447, 1564114447684
170, 1564114447, 1564114447761
170, 1564114447, 1564114447838
170, 1564114447, 1564114447918
170, 1564114447, 1564114447996
170, 1564114447, 1564114448073
169, 1564114447, 1564114448152
169, 1564114448, 1564114448230
169, 1564114448, 1564114448307
169, 1564114448, 1564114448384
169, 1564114448, 1564114448462
169, 1564114448, 1564114448539
169, 1564114448, 1564114448617
169, 1564114448, 1564114448694
169, 1564114448, 1564114448773
169, 1564114448, 1564114448849
169, 1564114448, 1564114448925
169, 1564114448, 1564114449003
169, 1564114448, 1564114449082
168, 1564114448, 1564114449158
168, 1564114449, 1564114449236
168, 1564114449, 1564114449314
168, 1564114449, 1564114449394
168, 1564114449, 1564114449473
168, 1564114449, 1564114449550
168, 1564114449, 1564114449627
168, 1564114449, 1564114449703
168, 1564114449, 1564114449783
168, 1564114449, 1564114449861
168, 1564114449, 1564114449937
168, 1564114449, 1564114450015
168, 1564114449, 1564114450092
166, 1564114450, 1564114450171
166, 1564114450, 1564114450247
166, 1564114450, 1564114450324
166, 1564114450, 1564114450403
166, 1564114450, 1564114450480
166, 1564114450, 1564114450557
166, 1564114450, 1564114450635
166, 1564114450, 1564114450713
166, 1564114450, 1564114450790
166, 1564114450, 1564114450867
166, 1564114450, 1564114450944
166, 1564114450, 1564114451022
166, 1564114450, 1564114451099
167, 1564114450, 1564114451176
167, 1564114451, 1564114451253
167, 1564114451, 1564114451331
167, 1564114451, 1564114451409
167, 1564114451, 1564114451486
167, 1564114451, 1564114451563
167, 1564114451, 1564114451642
167, 1564114451, 1564114451721
167, 1564114451, 1564114451798
167, 1564114451, 1564114451875
167, 1564114451, 1564114451954
167, 1564114451, 1564114452033
167, 1564114451, 1564114452111
167, 1564114451, 1564114452189
167, 1564114452, 1564114452267
167, 1564114452, 1564114452345
167, 1564114452, 1564114452424
167, 1564114452, 1564114452501
167, 1564114452, 1564114452576
167, 1564114452, 1564114452653
167, 1564114452, 1564114452733
167, 1564114452, 1564114452809
167, 1564114452, 1564114452886
167, 1564114452, 1564114452964
167, 1564114452, 1564114453042
167, 1564114452, 1564114453121
167, 1564114452, 1564114453200
167, 1564114453, 1564114453279
167, 1564114453, 1564114453356
167, 1564114453, 1564114453433
167, 1564114453, 1564114453512
167, 1564114453, 1564114453590
167, 1564114453, 1564114453667
167, 1564114453, 1564114453745
167, 1564114453, 1564114453822
167, 1564114453, 1564114453898
167, 1564114453, 1564114453977
167, 1564114453, 1564114454055
167, 1564114453, 1564114454134
167, 1564114453, 1564114454213
167, 1564114454, 1564114454291
167, 1564114454, 1564114454367
167, 1564114454, 1564114454446
167, 1564114454, 1564114454524
167, 1564114454, 1564114454603
167, 1564114454, 1564114454680
167, 1564114454, 1564114454758
167, 1564114454, 1564114454835
167, 1564114454, 1564114454913
