Power(W), TimePDU(S), TimeNODE(mS)
168, 1564114504, 1564114504921
168, 1564114504, 1564114504999
168, 1564114504, 1564114505077
168, 1564114504, 1564114505155
168, 1564114504, 1564114505235
193, 1564114504, 1564114505313
193, 1564114505, 1564114505393
193, 1564114505, 1564114505472
193, 1564114505, 1564114505551
193, 1564114505, 1564114505629
193, 1564114505, 1564114505707
193, 1564114505, 1564114505783
193, 1564114505, 1564114505859
193, 1564114505, 1564114505934
193, 1564114505, 1564114506013
193, 1564114505, 1564114506091
193, 1564114505, 1564114506167
193, 1564114505, 1564114506245
250, 1564114505, 1564114506324
250, 1564114506, 1564114506403
250, 1564114506, 1564114506479
250, 1564114506, 1564114506557
250, 1564114506, 1564114506634
250, 1564114506, 1564114506713
250, 1564114506, 1564114506789
250, 1564114506, 1564114506868
250, 1564114506, 1564114506944
250, 1564114506, 1564114507020
250, 1564114506, 1564114507096
250, 1564114506, 1564114507174
250, 1564114506, 1564114507254
256, 1564114506, 1564114507330
256, 1564114507, 1564114507408
256, 1564114507, 1564114507487
256, 1564114507, 1564114507565
256, 1564114507, 1564114507642
256, 1564114507, 1564114507718
256, 1564114507, 1564114507797
256, 1564114507, 1564114507874
256, 1564114507, 1564114507953
256, 1564114507, 1564114508030
256, 1564114507, 1564114508108
256, 1564114507, 1564114508185
256, 1564114507, 1564114508265
230, 1564114508, 1564114508344
230, 1564114508, 1564114508422
230, 1564114508, 1564114508500
230, 1564114508, 1564114508577
230, 1564114508, 1564114508654
230, 1564114508, 1564114508731
230, 1564114508, 1564114508808
230, 1564114508, 1564114508886
230, 1564114508, 1564114508963
230, 1564114508, 1564114509040
230, 1564114508, 1564114509116
230, 1564114508, 1564114509193
201, 1564114508, 1564114509271
201, 1564114509, 1564114509349
201, 1564114509, 1564114509429
201, 1564114509, 1564114509507
201, 1564114509, 1564114509585
201, 1564114509, 1564114509664
201, 1564114509, 1564114509740
201, 1564114509, 1564114509818
201, 1564114509, 1564114509895
201, 1564114509, 1564114509972
201, 1564114509, 1564114510050
201, 1564114509, 1564114510126
201, 1564114509, 1564114510203
201, 1564114509, 1564114510282
194, 1564114510, 1564114510361
194, 1564114510, 1564114510439
194, 1564114510, 1564114510514
194, 1564114510, 1564114510591
194, 1564114510, 1564114510669
194, 1564114510, 1564114510747
194, 1564114510, 1564114510824
194, 1564114510, 1564114510902
194, 1564114510, 1564114510980
194, 1564114510, 1564114511059
194, 1564114510, 1564114511135
194, 1564114510, 1564114511213
192, 1564114511, 1564114511300
192, 1564114511, 1564114511378
192, 1564114511, 1564114511455
192, 1564114511, 1564114511534
192, 1564114511, 1564114511613
192, 1564114511, 1564114511693
192, 1564114511, 1564114511770
192, 1564114511, 1564114511847
192, 1564114511, 1564114511922
192, 1564114511, 1564114512000
192, 1564114511, 1564114512079
192, 1564114511, 1564114512156
192, 1564114511, 1564114512233
190, 1564114511, 1564114512310
190, 1564114512, 1564114512389
190, 1564114512, 1564114512466
190, 1564114512, 1564114512544
190, 1564114512, 1564114512623
190, 1564114512, 1564114512701
190, 1564114512, 1564114512778
190, 1564114512, 1564114512855
190, 1564114512, 1564114512932
190, 1564114512, 1564114513009
190, 1564114512, 1564114513086
190, 1564114512, 1564114513164
190, 1564114512, 1564114513244
