Power(W), TimePDU(S), TimeNODE(mS)
169, 1564031182, 1564031182254
169, 1564031182, 1564031182325
169, 1564031182, 1564031182400
169, 1564031182, 1564031182478
169, 1564031182, 1564031182556
169, 1564031182, 1564031182635
169, 1564031182, 1564031182713
169, 1564031182, 1564031182792
169, 1564031182, 1564031182870
169, 1564031182, 1564031182949
215, 1564031182, 1564031183027
215, 1564031183, 1564031183105
215, 1564031183, 1564031183183
215, 1564031183, 1564031183260
215, 1564031183, 1564031183335
215, 1564031183, 1564031183414
215, 1564031183, 1564031183491
215, 1564031183, 1564031183568
215, 1564031183, 1564031183644
215, 1564031183, 1564031183722
215, 1564031183, 1564031183800
215, 1564031183, 1564031183877
215, 1564031183, 1564031183954
215, 1564031183, 1564031184031
260, 1564031184, 1564031184109
260, 1564031184, 1564031184186
260, 1564031184, 1564031184265
260, 1564031184, 1564031184344
260, 1564031184, 1564031184423
260, 1564031184, 1564031184500
260, 1564031184, 1564031184577
260, 1564031184, 1564031184654
260, 1564031184, 1564031184732
260, 1564031184, 1564031184810
260, 1564031184, 1564031184887
260, 1564031184, 1564031184963
247, 1564031185, 1564031185045
247, 1564031185, 1564031185122
247, 1564031185, 1564031185198
247, 1564031185, 1564031185276
247, 1564031185, 1564031185353
247, 1564031185, 1564031185431
247, 1564031185, 1564031185508
247, 1564031185, 1564031185584
247, 1564031185, 1564031185661
247, 1564031185, 1564031185738
247, 1564031185, 1564031185816
247, 1564031185, 1564031185894
247, 1564031185, 1564031185972
211, 1564031185, 1564031186051
211, 1564031186, 1564031186131
211, 1564031186, 1564031186209
211, 1564031186, 1564031186286
211, 1564031186, 1564031186361
211, 1564031186, 1564031186439
211, 1564031186, 1564031186516
211, 1564031186, 1564031186595
211, 1564031186, 1564031186672
211, 1564031186, 1564031186751
211, 1564031186, 1564031186828
211, 1564031186, 1564031186906
211, 1564031186, 1564031186983
194, 1564031187, 1564031187061
194, 1564031187, 1564031187138
194, 1564031187, 1564031187216
194, 1564031187, 1564031187295
194, 1564031187, 1564031187373
194, 1564031187, 1564031187451
194, 1564031187, 1564031187530
194, 1564031187, 1564031187607
194, 1564031187, 1564031187685
194, 1564031187, 1564031187763
194, 1564031187, 1564031187842
194, 1564031187, 1564031187919
194, 1564031187, 1564031187997
191, 1564031187, 1564031188074
191, 1564031188, 1564031188153
191, 1564031188, 1564031188232
191, 1564031188, 1564031188309
191, 1564031188, 1564031188385
191, 1564031188, 1564031188464
191, 1564031188, 1564031188542
191, 1564031188, 1564031188620
191, 1564031188, 1564031188697
191, 1564031188, 1564031188775
191, 1564031188, 1564031188854
191, 1564031188, 1564031188932
191, 1564031188, 1564031189009
187, 1564031188, 1564031189087
187, 1564031189, 1564031189165
187, 1564031189, 1564031189242
187, 1564031189, 1564031189320
