Power(W), TimePDU(S), TimeNODE(mS)
179, 1564037814, 1564037814554
179, 1564037814, 1564037814633
179, 1564037814, 1564037814712
171, 1564037815, 1564037814790
171, 1564037815, 1564037814869
171, 1564037815, 1564037814947
171, 1564037815, 1564037815027
171, 1564037815, 1564037815105
171, 1564037815, 1564037815182
171, 1564037815, 1564037815261
171, 1564037815, 1564037815339
171, 1564037815, 1564037815418
171, 1564037815, 1564037815497
171, 1564037815, 1564037815574
171, 1564037815, 1564037815654
171, 1564037815, 1564037815733
171, 1564037816, 1564037815813
171, 1564037816, 1564037815891
171, 1564037816, 1564037815969
171, 1564037816, 1564037816047
171, 1564037816, 1564037816125
171, 1564037816, 1564037816202
171, 1564037816, 1564037816280
171, 1564037816, 1564037816358
171, 1564037816, 1564037816434
171, 1564037816, 1564037816513
171, 1564037816, 1564037816592
171, 1564037816, 1564037816673
169, 1564037816, 1564037816752
169, 1564037817, 1564037816829
169, 1564037817, 1564037816906
169, 1564037817, 1564037816985
169, 1564037817, 1564037817063
169, 1564037817, 1564037817143
169, 1564037817, 1564037817223
169, 1564037817, 1564037817301
169, 1564037817, 1564037817376
169, 1564037817, 1564037817453
169, 1564037817, 1564037817533
169, 1564037817, 1564037817610
169, 1564037817, 1564037817687
170, 1564037817, 1564037817767
170, 1564037818, 1564037817844
170, 1564037818, 1564037817923
170, 1564037818, 1564037818001
170, 1564037818, 1564037818079
170, 1564037818, 1564037818156
170, 1564037818, 1564037818234
170, 1564037818, 1564037818311
170, 1564037818, 1564037818390
170, 1564037818, 1564037818468
170, 1564037818, 1564037818544
170, 1564037818, 1564037818622
170, 1564037818, 1564037818700
168, 1564037819, 1564037818779
168, 1564037819, 1564037818859
168, 1564037819, 1564037818935
168, 1564037819, 1564037819014
168, 1564037819, 1564037819094
168, 1564037819, 1564037819174
168, 1564037819, 1564037819251
168, 1564037819, 1564037819330
168, 1564037819, 1564037819406
168, 1564037819, 1564037819485
168, 1564037819, 1564037819562
168, 1564037819, 1564037819641
168, 1564037819, 1564037819718
170, 1564037820, 1564037819798
170, 1564037820, 1564037819876
170, 1564037820, 1564037819954
170, 1564037820, 1564037820031
170, 1564037820, 1564037820108
170, 1564037820, 1564037820184
170, 1564037820, 1564037820260
170, 1564037820, 1564037820338
170, 1564037820, 1564037820415
170, 1564037820, 1564037820493
170, 1564037820, 1564037820571
170, 1564037820, 1564037820649
168, 1564037820, 1564037820725
168, 1564037821, 1564037820805
168, 1564037821, 1564037820883
168, 1564037821, 1564037820960
168, 1564037821, 1564037821037
168, 1564037821, 1564037821114
168, 1564037821, 1564037821191
168, 1564037821, 1564037821271
168, 1564037821, 1564037821350
168, 1564037821, 1564037821427
168, 1564037821, 1564037821504
168, 1564037821, 1564037821582
168, 1564037821, 1564037821660
168, 1564037821, 1564037821737
170, 1564037822, 1564037821816
170, 1564037822, 1564037821894
170, 1564037822, 1564037821972
170, 1564037822, 1564037822047
170, 1564037822, 1564037822125
170, 1564037822, 1564037822202
170, 1564037822, 1564037822280
170, 1564037822, 1564037822357
170, 1564037822, 1564037822434
170, 1564037822, 1564037822513
170, 1564037822, 1564037822590
170, 1564037822, 1564037822668
168, 1564037822, 1564037822750
168, 1564037823, 1564037822827
168, 1564037823, 1564037822905
168, 1564037823, 1564037822981
168, 1564037823, 1564037823059
168, 1564037823, 1564037823136
168, 1564037823, 1564037823214
168, 1564037823, 1564037823294
168, 1564037823, 1564037823371
168, 1564037823, 1564037823448
168, 1564037823, 1564037823526
168, 1564037823, 1564037823604
168, 1564037823, 1564037823682
169, 1564037823, 1564037823759
169, 1564037824, 1564037823838
169, 1564037824, 1564037823915
169, 1564037824, 1564037823992
169, 1564037824, 1564037824069
169, 1564037824, 1564037824146
169, 1564037824, 1564037824224
169, 1564037824, 1564037824304
169, 1564037824, 1564037824383
169, 1564037824, 1564037824462
169, 1564037824, 1564037824539
169, 1564037824, 1564037824617
169, 1564037824, 1564037824695
168, 1564037825, 1564037824775
168, 1564037825, 1564037824854
168, 1564037825, 1564037824933
168, 1564037825, 1564037825010
168, 1564037825, 1564037825087
168, 1564037825, 1564037825164
168, 1564037825, 1564037825243
168, 1564037825, 1564037825319
168, 1564037825, 1564037825397
168, 1564037825, 1564037825474
168, 1564037825, 1564037825550
168, 1564037825, 1564037825628
168, 1564037825, 1564037825706
167, 1564037825, 1564037825784
167, 1564037826, 1564037825863
167, 1564037826, 1564037825939
167, 1564037826, 1564037826017
167, 1564037826, 1564037826095
167, 1564037826, 1564037826173
167, 1564037826, 1564037826251
167, 1564037826, 1564037826330
167, 1564037826, 1564037826407
167, 1564037826, 1564037826486
167, 1564037826, 1564037826564
167, 1564037826, 1564037826644
168, 1564037826, 1564037826722
168, 1564037827, 1564037826799
168, 1564037827, 1564037826875
168, 1564037827, 1564037826953
168, 1564037827, 1564037827032
168, 1564037827, 1564037827110
168, 1564037827, 1564037827186
168, 1564037827, 1564037827262
168, 1564037827, 1564037827341
168, 1564037827, 1564037827419
168, 1564037827, 1564037827496
168, 1564037827, 1564037827574
168, 1564037827, 1564037827653
168, 1564037827, 1564037827732
167, 1564037828, 1564037827812
167, 1564037828, 1564037827890
167, 1564037828, 1564037827968
167, 1564037828, 1564037828046
167, 1564037828, 1564037828124
167, 1564037828, 1564037828203
167, 1564037828, 1564037828281
167, 1564037828, 1564037828359
167, 1564037828, 1564037828437
167, 1564037828, 1564037828513
167, 1564037828, 1564037828590
167, 1564037828, 1564037828668
167, 1564037828, 1564037828745
167, 1564037829, 1564037828824
167, 1564037829, 1564037828902
167, 1564037829, 1564037828977
167, 1564037829, 1564037829056
167, 1564037829, 1564037829134
167, 1564037829, 1564037829212
167, 1564037829, 1564037829290
167, 1564037829, 1564037829367
167, 1564037829, 1564037829445
167, 1564037829, 1564037829523
167, 1564037829, 1564037829601
167, 1564037829, 1564037829678
167, 1564037829, 1564037829756
167, 1564037830, 1564037829834
167, 1564037830, 1564037829913
167, 1564037830, 1564037829991
167, 1564037830, 1564037830068
167, 1564037830, 1564037830146
167, 1564037830, 1564037830224
167, 1564037830, 1564037830303
167, 1564037830, 1564037830382
167, 1564037830, 1564037830459
167, 1564037830, 1564037830536
167, 1564037830, 1564037830614
167, 1564037830, 1564037830693
168, 1564037831, 1564037830772
168, 1564037831, 1564037830850
168, 1564037831, 1564037830927
168, 1564037831, 1564037831005
168, 1564037831, 1564037831082
168, 1564037831, 1564037831159
168, 1564037831, 1564037831237
168, 1564037831, 1564037831316
168, 1564037831, 1564037831393
168, 1564037831, 1564037831472
168, 1564037831, 1564037831548
168, 1564037831, 1564037831626
168, 1564037831, 1564037831704
168, 1564037831, 1564037831784
168, 1564037832, 1564037831863
168, 1564037832, 1564037831940
168, 1564037832, 1564037832019
168, 1564037832, 1564037832096
168, 1564037832, 1564037832174
168, 1564037832, 1564037832253
168, 1564037832, 1564037832331
168, 1564037832, 1564037832406
168, 1564037832, 1564037832483
168, 1564037832, 1564037832559
168, 1564037832, 1564037832637
168, 1564037832, 1564037832715
167, 1564037832, 1564037832792
167, 1564037833, 1564037832872
167, 1564037833, 1564037832950
167, 1564037833, 1564037833028
167, 1564037833, 1564037833106
167, 1564037833, 1564037833185
167, 1564037833, 1564037833262
167, 1564037833, 1564037833341
167, 1564037833, 1564037833418
167, 1564037833, 1564037833495
167, 1564037833, 1564037833573
167, 1564037833, 1564037833652
167, 1564037833, 1564037833730
167, 1564037834, 1564037833812
167, 1564037834, 1564037833889
167, 1564037834, 1564037833967
167, 1564037834, 1564037834045
167, 1564037834, 1564037834124
167, 1564037834, 1564037834202
167, 1564037834, 1564037834280
167, 1564037834, 1564037834358
167, 1564037834, 1564037834436
167, 1564037834, 1564037834514
167, 1564037834, 1564037834593
167, 1564037834, 1564037834672
168, 1564037834, 1564037834750
168, 1564037835, 1564037834827
168, 1564037835, 1564037834905
168, 1564037835, 1564037834983
168, 1564037835, 1564037835061
168, 1564037835, 1564037835139
168, 1564037835, 1564037835217
168, 1564037835, 1564037835296
168, 1564037835, 1564037835376
168, 1564037835, 1564037835452
168, 1564037835, 1564037835530
168, 1564037835, 1564037835607
168, 1564037835, 1564037835686
168, 1564037835, 1564037835763
168, 1564037836, 1564037835841
168, 1564037836, 1564037835919
168, 1564037836, 1564037835997
168, 1564037836, 1564037836076
168, 1564037836, 1564037836153
168, 1564037836, 1564037836232
168, 1564037836, 1564037836310
168, 1564037836, 1564037836388
168, 1564037836, 1564037836466
168, 1564037836, 1564037836544
168, 1564037836, 1564037836622
168, 1564037836, 1564037836700
167, 1564037837, 1564037836781
167, 1564037837, 1564037836858
167, 1564037837, 1564037836936
167, 1564037837, 1564037837013
167, 1564037837, 1564037837091
167, 1564037837, 1564037837166
167, 1564037837, 1564037837245
167, 1564037837, 1564037837323
167, 1564037837, 1564037837399
167, 1564037837, 1564037837477
167, 1564037837, 1564037837555
167, 1564037837, 1564037837634
167, 1564037837, 1564037837712
167, 1564037837, 1564037837793
167, 1564037838, 1564037837871
167, 1564037838, 1564037837949
167, 1564037838, 1564037838025
167, 1564037838, 1564037838103
167, 1564037838, 1564037838179
167, 1564037838, 1564037838257
167, 1564037838, 1564037838336
167, 1564037838, 1564037838414
167, 1564037838, 1564037838493
167, 1564037838, 1564037838571
167, 1564037838, 1564037838649
167, 1564037838, 1564037838726
166, 1564037838, 1564037838803
166, 1564037839, 1564037838883
166, 1564037839, 1564037838960
166, 1564037839, 1564037839037
166, 1564037839, 1564037839116
166, 1564037839, 1564037839193
166, 1564037839, 1564037839271
166, 1564037839, 1564037839349
166, 1564037839, 1564037839427
166, 1564037839, 1564037839505
166, 1564037839, 1564037839583
166, 1564037839, 1564037839662
166, 1564037839, 1564037839741
168, 1564037840, 1564037839819
168, 1564037840, 1564037839897
168, 1564037840, 1564037839974
168, 1564037840, 1564037840052
168, 1564037840, 1564037840129
168, 1564037840, 1564037840206
168, 1564037840, 1564037840284
168, 1564037840, 1564037840361
168, 1564037840, 1564037840439
168, 1564037840, 1564037840515
168, 1564037840, 1564037840594
168, 1564037840, 1564037840673
168, 1564037840, 1564037840750
167, 1564037840, 1564037840828
167, 1564037841, 1564037840907
167, 1564037841, 1564037840984
167, 1564037841, 1564037841063
167, 1564037841, 1564037841141
167, 1564037841, 1564037841218
167, 1564037841, 1564037841295
167, 1564037841, 1564037841372
167, 1564037841, 1564037841450
167, 1564037841, 1564037841527
167, 1564037841, 1564037841606
167, 1564037841, 1564037841685
167, 1564037841, 1564037841763
167, 1564037841, 1564037841840
167, 1564037841, 1564037841918
167, 1564037841, 1564037841995
166, 1564037842, 1564037842074
166, 1564037842, 1564037842152
166, 1564037842, 1564037842230
166, 1564037842, 1564037842306
166, 1564037842, 1564037842384
166, 1564037842, 1564037842463
166, 1564037842, 1564037842539
166, 1564037842, 1564037842617
166, 1564037842, 1564037842696
166, 1564037842, 1564037842774
167, 1564037843, 1564037842852
167, 1564037843, 1564037842924
167, 1564037843, 1564037842995
167, 1564037843, 1564037843072
167, 1564037843, 1564037843150
167, 1564037843, 1564037843226
167, 1564037843, 1564037843304
167, 1564037843, 1564037843382
167, 1564037843, 1564037843460
167, 1564037843, 1564037843537
167, 1564037843, 1564037843614
167, 1564037843, 1564037843693
167, 1564037843, 1564037843771
167, 1564037844, 1564037843849
167, 1564037844, 1564037843927
167, 1564037844, 1564037844005
167, 1564037844, 1564037844084
167, 1564037844, 1564037844160
167, 1564037844, 1564037844238
167, 1564037844, 1564037844315
167, 1564037844, 1564037844392
167, 1564037844, 1564037844468
167, 1564037844, 1564037844545
167, 1564037844, 1564037844622
167, 1564037844, 1564037844700
167, 1564037844, 1564037844778
168, 1564037845, 1564037844857
168, 1564037845, 1564037844935
168, 1564037845, 1564037845013
168, 1564037845, 1564037845090
168, 1564037845, 1564037845168
168, 1564037845, 1564037845246
168, 1564037845, 1564037845324
168, 1564037845, 1564037845402
168, 1564037845, 1564037845481
168, 1564037845, 1564037845558
168, 1564037845, 1564037845635
168, 1564037845, 1564037845712
168, 1564037845, 1564037845789
168, 1564037846, 1564037845867
168, 1564037846, 1564037845942
168, 1564037846, 1564037846020
168, 1564037846, 1564037846097
168, 1564037846, 1564037846173
168, 1564037846, 1564037846249
168, 1564037846, 1564037846325
168, 1564037846, 1564037846404
168, 1564037846, 1564037846482
168, 1564037846, 1564037846559
168, 1564037846, 1564037846638
168, 1564037846, 1564037846714
168, 1564037846, 1564037846790
169, 1564037847, 1564037846869
169, 1564037847, 1564037846947
169, 1564037847, 1564037847025
169, 1564037847, 1564037847105
169, 1564037847, 1564037847184
169, 1564037847, 1564037847262
169, 1564037847, 1564037847340
169, 1564037847, 1564037847417
169, 1564037847, 1564037847494
169, 1564037847, 1564037847572
169, 1564037847, 1564037847651
169, 1564037847, 1564037847730
169, 1564037848, 1564037847809
169, 1564037848, 1564037847886
169, 1564037848, 1564037847964
169, 1564037848, 1564037848039
169, 1564037848, 1564037848116
169, 1564037848, 1564037848193
169, 1564037848, 1564037848271
169, 1564037848, 1564037848349
169, 1564037848, 1564037848426
169, 1564037848, 1564037848504
169, 1564037848, 1564037848581
169, 1564037848, 1564037848659
169, 1564037848, 1564037848738
169, 1564037848, 1564037848815
169, 1564037849, 1564037848895
169, 1564037849, 1564037848973
169, 1564037849, 1564037849050
169, 1564037849, 1564037849127
169, 1564037849, 1564037849204
169, 1564037849, 1564037849283
169, 1564037849, 1564037849361
169, 1564037849, 1564037849440
169, 1564037849, 1564037849517
169, 1564037849, 1564037849594
169, 1564037849, 1564037849673
169, 1564037849, 1564037849752
167, 1564037850, 1564037849831
167, 1564037850, 1564037849909
167, 1564037850, 1564037849986
167, 1564037850, 1564037850064
167, 1564037850, 1564037850143
167, 1564037850, 1564037850222
167, 1564037850, 1564037850300
167, 1564037850, 1564037850376
167, 1564037850, 1564037850454
167, 1564037850, 1564037850531
167, 1564037850, 1564037850608
167, 1564037850, 1564037850686
167, 1564037850, 1564037850765
168, 1564037850, 1564037850844
168, 1564037851, 1564037850924
168, 1564037851, 1564037851003
168, 1564037851, 1564037851079
168, 1564037851, 1564037851156
168, 1564037851, 1564037851235
168, 1564037851, 1564037851312
168, 1564037851, 1564037851389
168, 1564037851, 1564037851466
168, 1564037851, 1564037851544
168, 1564037851, 1564037851622
168, 1564037851, 1564037851699
167, 1564037851, 1564037851777
167, 1564037852, 1564037851856
