Power(W), TimePDU(S), TimeNODE(mS)
171, 1564094436, 1564094435953
171, 1564094436, 1564094436030
171, 1564094436, 1564094436105
171, 1564094436, 1564094436182
171, 1564094436, 1564094436259
171, 1564094436, 1564094436336
171, 1564094436, 1564094436414
171, 1564094436, 1564094436492
171, 1564094436, 1564094436567
171, 1564094436, 1564094436646
171, 1564094436, 1564094436724
171, 1564094436, 1564094436805
169, 1564094436, 1564094436883
169, 1564094437, 1564094436963
169, 1564094437, 1564094437042
169, 1564094437, 1564094437122
169, 1564094437, 1564094437199
169, 1564094437, 1564094437277
169, 1564094437, 1564094437357
169, 1564094437, 1564094437434
169, 1564094437, 1564094437512
169, 1564094437, 1564094437590
169, 1564094437, 1564094437667
169, 1564094437, 1564094437745
169, 1564094437, 1564094437824
168, 1564094437, 1564094437903
168, 1564094438, 1564094437981
168, 1564094438, 1564094438059
168, 1564094438, 1564094438136
168, 1564094438, 1564094438214
168, 1564094438, 1564094438294
168, 1564094438, 1564094438373
168, 1564094438, 1564094438449
168, 1564094438, 1564094438524
168, 1564094438, 1564094438604
168, 1564094438, 1564094438683
168, 1564094438, 1564094438758
168, 1564094438, 1564094438838
168, 1564094439, 1564094438916
168, 1564094439, 1564094438995
168, 1564094439, 1564094439072
168, 1564094439, 1564094439150
168, 1564094439, 1564094439227
168, 1564094439, 1564094439305
168, 1564094439, 1564094439383
168, 1564094439, 1564094439460
168, 1564094439, 1564094439537
168, 1564094439, 1564094439615
168, 1564094439, 1564094439693
168, 1564094439, 1564094439771
168, 1564094439, 1564094439847
168, 1564094440, 1564094439924
168, 1564094440, 1564094440004
168, 1564094440, 1564094440084
168, 1564094440, 1564094440163
168, 1564094440, 1564094440241
168, 1564094440, 1564094440318
168, 1564094440, 1564094440396
168, 1564094440, 1564094440475
168, 1564094440, 1564094440553
168, 1564094440, 1564094440631
168, 1564094440, 1564094440709
168, 1564094440, 1564094440788
168, 1564094440, 1564094440865
168, 1564094440, 1564094440944
168, 1564094440, 1564094441023
168, 1564094440, 1564094441101
167, 1564094441, 1564094441179
167, 1564094441, 1564094441255
167, 1564094441, 1564094441336
167, 1564094441, 1564094441414
167, 1564094441, 1564094441493
167, 1564094441, 1564094441570
167, 1564094441, 1564094441647
167, 1564094441, 1564094441725
167, 1564094441, 1564094441803
167, 1564094441, 1564094441880
167, 1564094441, 1564094441957
167, 1564094441, 1564094442034
167, 1564094441, 1564094442114
168, 1564094442, 1564094442195
168, 1564094442, 1564094442274
168, 1564094442, 1564094442354
168, 1564094442, 1564094442433
