Power(W), TimePDU(S), TimeNODE(mS)
169, 1564049608, 1564049608424
169, 1564049608, 1564049608503
169, 1564049608, 1564049608581
169, 1564049608, 1564049608660
169, 1564049608, 1564049608736
169, 1564049608, 1564049608815
169, 1564049608, 1564049608891
169, 1564049608, 1564049608969
169, 1564049608, 1564049609046
169, 1564049608, 1564049609125
169, 1564049608, 1564049609203
221, 1564049608, 1564049609282
221, 1564049609, 1564049609358
221, 1564049609, 1564049609438
221, 1564049609, 1564049609515
221, 1564049609, 1564049609594
221, 1564049609, 1564049609673
221, 1564049609, 1564049609750
221, 1564049609, 1564049609828
221, 1564049609, 1564049609906
221, 1564049609, 1564049609983
221, 1564049609, 1564049610061
221, 1564049609, 1564049610139
221, 1564049609, 1564049610217
254, 1564049610, 1564049610295
254, 1564049610, 1564049610373
254, 1564049610, 1564049610453
254, 1564049610, 1564049610530
254, 1564049610, 1564049610607
254, 1564049610, 1564049610685
254, 1564049610, 1564049610763
254, 1564049610, 1564049610840
254, 1564049610, 1564049610917
254, 1564049610, 1564049610994
254, 1564049610, 1564049611074
254, 1564049610, 1564049611152
252, 1564049610, 1564049611233
252, 1564049611, 1564049611311
252, 1564049611, 1564049611388
252, 1564049611, 1564049611466
252, 1564049611, 1564049611544
252, 1564049611, 1564049611622
252, 1564049611, 1564049611700
252, 1564049611, 1564049611777
252, 1564049611, 1564049611856
252, 1564049611, 1564049611934
252, 1564049611, 1564049612013
252, 1564049611, 1564049612092
252, 1564049611, 1564049612170
220, 1564049611, 1564049612247
220, 1564049612, 1564049612326
220, 1564049612, 1564049612404
220, 1564049612, 1564049612483
220, 1564049612, 1564049612560
220, 1564049612, 1564049612638
220, 1564049612, 1564049612715
220, 1564049612, 1564049612794
220, 1564049612, 1564049612871
220, 1564049612, 1564049612949
220, 1564049612, 1564049613028
220, 1564049612, 1564049613106
220, 1564049612, 1564049613182
190, 1564049612, 1564049613258
190, 1564049613, 1564049613338
190, 1564049613, 1564049613417
190, 1564049613, 1564049613495
190, 1564049613, 1564049613572
190, 1564049613, 1564049613650
190, 1564049613, 1564049613727
190, 1564049613, 1564049613805
190, 1564049613, 1564049613884
190, 1564049613, 1564049613961
190, 1564049613, 1564049614040
190, 1564049613, 1564049614118
190, 1564049613, 1564049614196
193, 1564049614, 1564049614277
193, 1564049614, 1564049614355
193, 1564049614, 1564049614433
193, 1564049614, 1564049614509
193, 1564049614, 1564049614586
193, 1564049614, 1564049614662
193, 1564049614, 1564049614739
193, 1564049614, 1564049614818
193, 1564049614, 1564049614896
193, 1564049614, 1564049614972
193, 1564049614, 1564049615048
193, 1564049614, 1564049615124
193, 1564049614, 1564049615203
192, 1564049614, 1564049615279
192, 1564049615, 1564049615359
192, 1564049615, 1564049615436
192, 1564049615, 1564049615514
192, 1564049615, 1564049615594
192, 1564049615, 1564049615672
192, 1564049615, 1564049615750
192, 1564049615, 1564049615827
192, 1564049615, 1564049615905
192, 1564049615, 1564049615983
192, 1564049615, 1564049616062
192, 1564049615, 1564049616139
191, 1564049615, 1564049616217
191, 1564049616, 1564049616296
191, 1564049616, 1564049616374
191, 1564049616, 1564049616453
191, 1564049616, 1564049616531
191, 1564049616, 1564049616609
191, 1564049616, 1564049616687
191, 1564049616, 1564049616764
191, 1564049616, 1564049616841
191, 1564049616, 1564049616920
191, 1564049616, 1564049616997
191, 1564049616, 1564049617075
191, 1564049616, 1564049617153
191, 1564049616, 1564049617233
191, 1564049617, 1564049617314
191, 1564049617, 1564049617392
191, 1564049617, 1564049617468
191, 1564049617, 1564049617544
191, 1564049617, 1564049617624
191, 1564049617, 1564049617701
191, 1564049617, 1564049617778
191, 1564049617, 1564049617855
191, 1564049617, 1564049617933
191, 1564049617, 1564049618012
