Power(W), TimePDU(S), TimeNODE(mS)
178, 1564072906, 1564072907672
178, 1564072906, 1564072907750
178, 1564072906, 1564072907829
175, 1564072906, 1564072907905
175, 1564072907, 1564072907983
175, 1564072907, 1564072908061
175, 1564072907, 1564072908139
175, 1564072907, 1564072908216
175, 1564072907, 1564072908294
175, 1564072907, 1564072908372
175, 1564072907, 1564072908449
175, 1564072907, 1564072908528
175, 1564072907, 1564072908605
175, 1564072907, 1564072908684
175, 1564072907, 1564072908761
171, 1564072907, 1564072908840
171, 1564072908, 1564072908917
171, 1564072908, 1564072908995
171, 1564072908, 1564072909072
171, 1564072908, 1564072909152
171, 1564072908, 1564072909230
171, 1564072908, 1564072909306
171, 1564072908, 1564072909384
171, 1564072908, 1564072909463
171, 1564072908, 1564072909543
171, 1564072908, 1564072909620
171, 1564072908, 1564072909699
171, 1564072908, 1564072909776
171, 1564072908, 1564072909853
170, 1564072909, 1564072909931
170, 1564072909, 1564072910009
170, 1564072909, 1564072910088
170, 1564072909, 1564072910166
170, 1564072909, 1564072910245
170, 1564072909, 1564072910323
170, 1564072909, 1564072910401
170, 1564072909, 1564072910477
170, 1564072909, 1564072910555
170, 1564072909, 1564072910634
170, 1564072909, 1564072910712
170, 1564072909, 1564072910790
169, 1564072909, 1564072910868
169, 1564072910, 1564072910947
169, 1564072910, 1564072911024
169, 1564072910, 1564072911104
169, 1564072910, 1564072911185
169, 1564072910, 1564072911263
169, 1564072910, 1564072911342
169, 1564072910, 1564072911422
169, 1564072910, 1564072911500
169, 1564072910, 1564072911576
169, 1564072910, 1564072911652
169, 1564072910, 1564072911730
169, 1564072910, 1564072911808
169, 1564072910, 1564072911887
169, 1564072911, 1564072911966
169, 1564072911, 1564072912045
169, 1564072911, 1564072912124
169, 1564072911, 1564072912204
169, 1564072911, 1564072912283
169, 1564072911, 1564072912361
169, 1564072911, 1564072912437
169, 1564072911, 1564072912515
169, 1564072911, 1564072912594
169, 1564072911, 1564072912671
169, 1564072911, 1564072912749
169, 1564072911, 1564072912827
169, 1564072911, 1564072912904
169, 1564072912, 1564072912984
169, 1564072912, 1564072913063
169, 1564072912, 1564072913140
169, 1564072912, 1564072913216
169, 1564072912, 1564072913292
169, 1564072912, 1564072913369
169, 1564072912, 1564072913445
169, 1564072912, 1564072913525
169, 1564072912, 1564072913603
169, 1564072912, 1564072913679
169, 1564072912, 1564072913756
169, 1564072912, 1564072913834
169, 1564072913, 1564072913915
169, 1564072913, 1564072913993
169, 1564072913, 1564072914072
169, 1564072913, 1564072914150
169, 1564072913, 1564072914227
169, 1564072913, 1564072914304
169, 1564072913, 1564072914383
169, 1564072913, 1564072914463
169, 1564072913, 1564072914539
169, 1564072913, 1564072914617
169, 1564072913, 1564072914696
